CoTr_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.973931455465717,0.8190297814250043,0.6898297539173207,0.8522566538715629,0.27953110658673486,0.7614968334458269,0.7694012692725883,0.829829724180245,0.7877768421814174,0.7275335580207669,0.7244340340243715,0.8225013631280683,0.7104682502807839,0.8033170043218203,0.7790960444641281,0.7589178818316547,0.6709677393891167,0.6638297815844274,0.823973986445229,0.26086950850662854,0.17847285944367194,0.7932067010115943,0.6501789546781047,0.8159734730656862,0.4494602507413126,0.7145758687522362,0.798258807138438,0.8879828084809175,0.7578051076035871,0.6535514118111044,0.7135549853873273,0.7943632560939777,0.7817575066034316,0.6194444401427469,0.8290613392000519,0.5714284693877733,0.2547528492894216,0.0,0.0,0.0,0.3733333262222224,0.0,0.0,0.0,0.0,0.0,0.011519513811383929
p_1,0.9715865031295287,0.816384939259738,0.6911501228956407,0.8110502384828941,0.1342925643370196,0.7867929835881265,0.7607278729240569,0.8329348471643082,0.7595712088315835,0.6986685347769197,0.6206457081124773,0.533273378897152,0.8102601404215752,0.798626830647664,0.7641814433583017,0.7089571156839454,0.5006941207742058,0.46892210488652947,0.784598679708846,0.0,0.23971797603151615,0.8045009247958641,0.6818259717015255,0.7670157061788156,0.02846975038310053,0.7609979227610917,0.8092116590327628,0.8544206936592681,0.68033504102971,0.5598384723202657,0.5707665561483558,0.7045643915335947,0.6167946479643431,0.45583276833558484,0.722408026166565,0.0,0.1367088590290018,0.0,0.003418803389582877,0.0,0.020725388064109118,0.0,0.0,0.0,0.0,0.0,0.013194202241443452
p_2,0.9755249740459714,0.8337480906180985,0.711187733538167,0.8683220462432647,0.44593301008676545,0.8086824275380388,0.8421782138827352,0.8747614498599944,0.8585107712504589,0.7755186713946902,0.7360912960453886,0.7871986667198725,0.8093056030854677,0.8697063057864279,0.8183602258849104,0.819782493993313,0.6773633968891439,0.6465364063362664,0.8662529824665843,0.41935477107181107,0.3409090873873028,0.8074619641652614,0.6789524900471182,0.8585055638192199,0.5928030246893653,0.7847538613221596,0.856203477152463,0.8790488894340356,0.8186255100664483,0.6633698331998471,0.7217391284735349,0.805670664334056,0.8174794765391611,0.6078767071243433,0.8343201001316897,0.19512190362880397,0.34410844271002666,0.0,0.0,0.0,0.49450548092017915,0.0,0.0,0.0,0.0,0.0,0.009857613699776786
p_3,0.9688890563956934,0.8151617086160855,0.6677937645903887,0.8159762332530252,0.3948667285797954,0.7255567822818065,0.6334216514857197,0.8437349328527697,0.7616244838704761,0.7044613279714969,0.6729487458677345,0.7731208840556948,0.6810018887499956,0.7740522324003902,0.7670560510777893,0.7484593816569765,0.6481909135943382,0.6330578460077864,0.8348092635943382,0.14545451900826925,0.24918032582639077,0.7923684372267789,0.6476801764310667,0.8719862464371729,0.25961538149500746,0.7735952738989799,0.7608254201068312,0.8686728121594058,0.7407016608537303,0.6282404324107488,0.7154793300011448,0.7785113495717543,0.7454684688652834,0.5956320278250693,0.8349681631087866,0.0,0.40869564963543076,0.0,0.003937007835265671,0.0,0.12448132263562976,0.0,0.0,0.0,0.0,0.0,0.01627197265625
p_4,0.9747280521500505,0.8240104735051541,0.6916225772901861,0.8840394086492513,0.4197002096391841,0.7830076876286098,0.8418071439616099,0.8387417213914229,0.8261650630601659,0.786701049192576,0.7522935762119652,0.7949505261175348,0.7619219639416149,0.8571428569906898,0.8080996150260682,0.808726835598545,0.695888282793296,0.6019417433984623,0.8196177839122292,0.1428571173469433,0.3016678730843519,0.8113373008639825,0.6837295851026838,0.872628172075412,0.5491183832987542,0.7711662292001054,0.837447274352909,0.8716645484383931,0.82329016287778,0.7423682668263968,0.7513786747440748,0.8237579218730752,0.7899884902474439,0.6226834646205822,0.8316965137380161,0.17142852244899356,0.4985803492414517,0.0,0.0035682426086686655,0.0,0.5397412099862993,0.0,0.0,0.0,0.0,0.0,0.009656633649553572
p_5,0.9734321276795899,0.8194207694942245,0.6905565032158001,0.8937853697092366,0.25303643468586606,0.7564667794800473,0.793506593599637,0.8632803496525684,0.819043320375628,0.790471909401823,0.7306471288628885,0.8282776328321911,0.726126124490707,0.8451732621636263,0.7783541849472544,0.732454793955088,0.573394493220969,0.6990131521462735,0.8365298610389249,0.18181814876033658,0.3230562981028398,0.8060719169687706,0.6718184485864941,0.904564792197147,0.4081632600999584,0.7441361237667279,0.8130071544739838,0.8752238800744933,0.8381326343388605,0.8215883661245448,0.7956712167078814,0.8177320395629012,0.7989677398736316,0.6061562698803767,0.8259900192950526,0.40740733196160517,0.3616766445408584,0.0,0.0013306719805011844,0.0,0.5394990262138917,0.0,0.0,0.0,0.0,0.0,0.01141938709077381
p_6,0.9706060038100701,0.809334413197741,0.6456689107341763,0.8944437804051991,0.4244966407340886,0.7381039030256337,0.8104118549390745,0.7959066340140815,0.758439608954189,0.7165446240936596,0.6018087130671178,0.8356445792613133,0.794756687385964,0.8090402661878247,0.8075679779353794,0.7571682294920877,0.6401194592328548,0.6382978651926331,0.8219576471671748,0.2857142346938866,0.24981301234246064,0.7883824263555985,0.61300550702674,0.8852428274000741,0.2726347886812331,0.7542508285230604,0.8218574418294965,0.8492726704739878,0.7361495836378699,0.6886164615427712,0.7295774630761093,0.793774318347865,0.7652043849321924,0.5819592572069907,0.8002168602148578,0.23529407151096635,0.3639143712338717,0.0,0.003631961237094666,0.0,0.14330217622111602,0.0,0.0,0.0,0.0,0.0,0.013347080775669642
p_7,0.976049078286353,0.8255760364692682,0.7073769464125852,0.8262788640866613,0.42577487417801896,0.798343917071864,0.8371996713109124,0.8695989789397088,0.8472698485264181,0.7800829868482023,0.7398315264986005,0.7855579840059883,0.7999275085177102,0.8434670619646684,0.7965394393928352,0.7881745097928401,0.6492728800287729,0.5440805999657381,0.8528493356236834,0.21874996582031783,0.28451296226690287,0.8064894397436179,0.6860004204663918,0.8799572091082918,0.2961165012607221,0.7729273886113576,0.8384926726560717,0.8870203155265123,0.8307584259939625,0.7346080298904321,0.7354685629051755,0.8158399830125872,0.787284766126398,0.5998300713693282,0.8444809182965932,0.1851851508916387,0.4255319120642825,0.0,0.006198347043405506,0.0,0.4236111037567517,0.0,0.0,0.0,0.0,0.0,0.008519490559895834
p_8,0.9742935619952215,0.8315665720109712,0.7015528592502046,0.8221902013342026,0.4158415807273797,0.8013119913929907,0.84352692997972,0.8459060099733885,0.8498833916166891,0.7937254894179162,0.7777777757956733,0.7906652706699224,0.7536850256910687,0.8622338112302198,0.807722704292963,0.7787209938349717,0.7014322412727424,0.6295681010833214,0.8566189944475441,0.39285707270409415,0.3134328328970818,0.8025862638446407,0.6771232570616944,0.7806016590762433,0.5398981278446678,0.8034102304682351,0.8539408914363393,0.8844784808087162,0.8285556769176465,0.699801192070023,0.71461129218888,0.8239291589539445,0.8072902685411678,0.6587712756567633,0.8330644388032036,0.1081080788897084,0.31818181516873284,0.0,0.0,0.0,0.5530145415173692,0.0,0.0,0.0,0.0,0.0,0.009752546037946428
p_9,0.9722260487993737,0.8360904804149327,0.6720666763311,0.8944897185777727,0.2910052871560147,0.8086427191391505,0.8456942296657549,0.8760922324780994,0.8307769665190131,0.7720938588761181,0.7217568469056898,0.69614710728482,0.7731868114875016,0.8740650897928836,0.7865815486461616,0.8066643498553823,0.5083293645486465,0.620262949572599,0.8229485525595452,0.345678969669263,0.31159420064062177,0.8182012232058896,0.655008031023199,0.888740031614437,0.30808080419089895,0.7743378250539213,0.8206153890154199,0.8876234319454634,0.7781176461433911,0.7103923323246558,0.7303271425059082,0.7700246794143767,0.8245901616814476,0.5775577510102496,0.8038171764903896,0.0,0.3491461078485382,0.0,0.0015873015747039558,0.0,0.45019919421913956,0.0,0.0,0.0,0.0,0.0,0.012341453915550596
