CycleMorph_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.973460523,0.820995992,0.696227018,0.857913438,0.289735097,0.726311527,0.745330403,0.814987793,0.769096463,0.712764835,0.761599208,0.831964968,0.693588864,0.787708194,0.749554283,0.701805052,0.707815921,0.653594765,0.81723753,0.107142838,0.297124598,0.79878754,0.662121246,0.813533416,0.414062496,0.685305331,0.785201784,0.888938373,0.753201023,0.62597343,0.70355354,0.782794549,0.772346982,0.598144178,0.833537117,0.453333273,0.305331177,0,0.00493421,0,0.341692785,0,0,0,0,0,0.015441895
p_1,0.970769498,0.813716938,0.695494458,0.797573656,0.143979056,0.78661362,0.744545916,0.812053432,0.777170458,0.685598018,0.615190405,0.495022622,0.793336993,0.768712284,0.731580467,0.623809522,0.448633363,0.514767928,0.712724769,0,0.234234232,0.808228586,0.695207659,0.759491634,0.075313806,0.772038036,0.803351077,0.803391361,0.709848302,0.562658406,0.501425584,0.692845318,0.570025838,0.446052629,0.632507417,0,0.215189871,0,0,0,0.076134699,0,0,0,0,0,0.016848174
p_2,0.97488331,0.833004885,0.712129851,0.848538945,0.464419471,0.799017467,0.830651431,0.849043924,0.810674722,0.738464926,0.734727571,0.792003399,0.824432808,0.858949693,0.793297274,0.78201058,0.69796954,0.59665427,0.847228915,0.564102492,0.374881062,0.812869246,0.689985848,0.831293933,0.546099286,0.799824672,0.854761567,0.881308862,0.785796692,0.652810032,0.713403168,0.79660288,0.800600448,0.616426752,0.834629042,0.097560952,0.336162985,0,0.002522068,0,0.248962652,0,0,0,0,0,0.013877215
p_3,0.968252846,0.821540778,0.675786211,0.81514525,0.331125825,0.715419206,0.617830613,0.838877733,0.768660037,0.718581341,0.729224821,0.761713518,0.678197735,0.784191304,0.742066238,0.70062653,0.709802399,0.576518214,0.841308146,0.178571397,0.412983423,0.795245271,0.650659573,0.870460704,0.281755193,0.747846427,0.75648589,0.85912675,0.76110281,0.641056645,0.726309093,0.7531411,0.722150425,0.521108176,0.836705324,0,0.42692939,0,0.003925417,0,0.054054053,0,0,0,0,0,0.020497931
p_4,0.973659563,0.826211272,0.695994534,0.870730653,0.382409174,0.752973945,0.814613036,0.805578894,0.818335803,0.755909943,0.768881831,0.777065524,0.809564767,0.868909072,0.7550173,0.750145262,0.703288198,0.591909151,0.800751173,0.089552225,0.260273971,0.812926684,0.684364533,0.860427825,0.543640893,0.749892602,0.817241644,0.862593309,0.835139154,0.738979788,0.770236751,0.803457972,0.758177568,0.596610165,0.811884935,0.142857117,0.465210765,0,0,0,0.428093638,0,0,0,0,0,0.013376581
p_5,0.972875408,0.824096386,0.697334574,0.898019193,0.260473586,0.747336793,0.777731971,0.849838377,0.814458933,0.785079599,0.718251042,0.827323512,0.717352413,0.832350925,0.76248354,0.691685536,0.555338285,0.640069379,0.833979196,0.245613992,0.317417617,0.807940286,0.67932388,0.899621763,0.40258064,0.743573045,0.805476745,0.863718738,0.815159718,0.805776707,0.76622361,0.833784829,0.78955696,0.678326991,0.819106121,0.32835816,0.3849184,0,0.006622517,0,0.464811776,0,0,0,0,0,0.015024821
p_6,0.969526471,0.811010601,0.646730523,0.901200098,0.383259909,0.735382841,0.801782282,0.791109567,0.72330097,0.680702519,0.661626693,0.809205243,0.791518174,0.799775288,0.796811236,0.722861429,0.602170832,0.628385692,0.804800436,0.297297257,0.400806991,0.787668523,0.615692967,0.868976804,0.30382106,0.741282523,0.811900546,0.853866437,0.733302835,0.67921533,0.741268074,0.781981981,0.701197164,0.592718031,0.792816701,0.13888887,0.40326452,0,0.001208459,0,0.075581393,0,0,0,0,0,0.018433053
p_7,0.975838648,0.827626113,0.715687326,0.828130104,0.324159019,0.792945983,0.828327697,0.852633346,0.816262294,0.753140411,0.666995802,0.746079161,0.809950611,0.84378957,0.756817485,0.721904186,0.652249132,0.453821652,0.783258594,0.032258059,0.454258672,0.809766803,0.692809683,0.869394359,0.303464751,0.777055765,0.837231173,0.881611804,0.810521303,0.719992372,0.679672445,0.806401651,0.730522944,0.579795018,0.779584195,0.053333326,0.450428394,0,0.008247423,0,0.390243897,0,0,0,0,0,0.011537388
p_8,0.97402461,0.833993322,0.706968276,0.80841322,0.513428116,0.799018071,0.839506011,0.830698508,0.803619466,0.767381286,0.768731267,0.756524845,0.770589363,0.853631914,0.789558417,0.732090854,0.69506567,0.672913112,0.838797073,0.38095232,0.401010949,0.807479714,0.687557253,0.763435459,0.499192242,0.811611111,0.855060625,0.879653014,0.824001068,0.712448222,0.727449548,0.812400318,0.817863867,0.660647098,0.822037848,0.071428559,0.315217389,0,0.002293578,0,0.398089166,0,0,0,0,0,0.014311146
p_9,0.971300165,0.836738817,0.673699479,0.885334065,0.286721501,0.793571011,0.823707874,0.836891866,0.802606362,0.772941602,0.729966328,0.683668901,0.791388588,0.872994171,0.767918088,0.786965659,0.443649372,0.620462041,0.802903195,0.41818178,0.223713645,0.820248517,0.661808399,0.857969109,0.314720808,0.767531942,0.806130999,0.881329305,0.786473891,0.696035242,0.741363635,0.733907056,0.759681091,0.498107491,0.766708946,0,0.196625944,0,0.003167063,0,0.312236283,0,0,0,0,0,0.016328793
