MIDIR_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9728936793335018,0.793480370151635,0.6601025593574587,0.8471251894783575,0.29947643665469703,0.7621668180212071,0.8102581342407799,0.8280154823579792,0.8042385534516526,0.7572618314470223,0.7643928380154987,0.8075493256861614,0.6988010748744774,0.8883729792809346,0.7870002762561165,0.7659971957823513,0.7088978370234426,0.6586414388766858,0.8278617328227708,0.2857142274052597,0.2804878024347752,0.7813034948161622,0.6312443920323427,0.7927110142306524,0.3728470073673049,0.7110311180999783,0.8150120046121867,0.8869214384809361,0.7850409507262541,0.7264770233130384,0.7094816669798187,0.7839914232767631,0.7951273515058088,0.6541516198256201,0.8352971974903577,0.3103447740784872,0.2940170915041274,0.0,0.0016570008147721556,0.0,0.40758293194971673,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9721926685263005,0.7909597769099882,0.6593300008408877,0.8036932481747275,0.12711864227233557,0.7859904054804177,0.8315019229289558,0.8434361097179371,0.7839272165985252,0.7335987530434492,0.620590646799445,0.5541125517137985,0.8185013860897292,0.884386096217157,0.7618241647749655,0.6696546251788699,0.5176695295240232,0.540840598407291,0.7902212268311775,0.0,0.3511972593934178,0.7941698263030188,0.6590869939614086,0.7341260583398415,0.053667262009530196,0.790090634250129,0.8603998417435094,0.8660986636867053,0.7364209496406148,0.7000699539173925,0.6321611998574453,0.7411883175490357,0.6734693860789711,0.48021461783893615,0.7562565375744295,0.0,0.24917309537846644,0.0,0.0017094016947914385,0.0,0.3091247614688126,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.973416159843957,0.8039633827414143,0.672368973931211,0.8571703464390387,0.4559270470524109,0.7988896597366024,0.8516501375931773,0.8636119878069404,0.8458415182110786,0.7852956837663339,0.7642233374855164,0.7718567827982648,0.807872538317015,0.8960008872934344,0.7988826807059705,0.76914720051834,0.7142239484901688,0.6324041756759218,0.8537307720896812,0.5454544628099298,0.40230990950616063,0.7858601162035921,0.6491044107729762,0.8120682000303808,0.5818847156277702,0.8203524075014772,0.8706077049820647,0.8930590635792981,0.7734364571630398,0.7112145382189555,0.7301850297426539,0.7940292310624762,0.8018891354663457,0.6259673204989913,0.837992012894094,0.1333332888889037,0.34128440053867526,0.0,0.005050504986736049,0.0,0.4215246542259046,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9684923031584132,0.7881076719509843,0.6330892147589001,0.8232387014314213,0.3999999954285715,0.7406293091093917,0.717048067395376,0.839848136014198,0.7944044075252163,0.7555471619719129,0.7184592064088743,0.7450840159274793,0.6748466241745007,0.88859664286406,0.7702782704062776,0.7510570804676081,0.6930391757586946,0.6240249561308506,0.8332902551621519,0.21428567602041498,0.3540372643320088,0.7718732821188982,0.6134507953272441,0.8692667186942112,0.22357229375975343,0.7907977179484714,0.8123981513095132,0.8522888149762337,0.7981100743224236,0.6762929896943266,0.692373975242624,0.7725592709162902,0.7217893925061839,0.553391534228398,0.8300524363190471,0.0,0.3645955429976815,0.0,0.007858546091762808,0.0,0.11904761550453526,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.9713671741873382,0.7937182572290845,0.6512575129741021,0.8644626829115944,0.3765786409118411,0.7609732534079051,0.8346088951316321,0.8474503484447395,0.8194268849352856,0.8120781520319021,0.8049645372230396,0.7441176443230968,0.7835447889589682,0.8900433506695608,0.7742371345859282,0.8031132868172001,0.6905561751005741,0.6371814045188801,0.814184944618625,0.26865667631989903,0.30926430307040664,0.7887278751401463,0.6463074238169491,0.8503399056886597,0.5503999955968001,0.7673462139339745,0.8334270891351941,0.8457449779859313,0.817326623477,0.7758636565860307,0.7891314426634198,0.8070388341352763,0.8251410130939,0.6188734409738592,0.8092684787349019,0.14999996250000935,0.3972088008738121,0.0,0.0017857142697704084,0.0,0.5345454448264465,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9703134854702202,0.7912740449226519,0.652825881881166,0.8871401149198956,0.24793388173622025,0.7497747815383882,0.7998908083453659,0.8684270167336656,0.8127972321521864,0.7749277112443543,0.7426886194576342,0.8090998990872901,0.7345385329815926,0.878143133281587,0.7907471924208797,0.7093659455765499,0.5813174522466786,0.6666666611387507,0.8247668179948732,0.18181814049587713,0.3213530632744675,0.7842984136370631,0.638364594567164,0.8892788205856936,0.36666666284722227,0.7725721573042347,0.8245278951801447,0.8558259581761148,0.8036214692782696,0.8168234635520906,0.7686740740018763,0.8242139832715026,0.7971808906364372,0.6926069985011128,0.8268490799199989,0.318181745867785,0.39667589807935794,0.0,0.002659574450401766,0.0,0.5467625800941982,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.966428387149321,0.78242870439566,0.6013951635622516,0.895796695589677,0.4498269857281403,0.7339867154224564,0.8179371544357044,0.7963539598050422,0.7919805298505267,0.7383303870066219,0.7173017489255876,0.8049327331700316,0.7956487941032464,0.8599453286773605,0.8206177885926519,0.7529055059300012,0.6272134173941593,0.6617954001900271,0.8112738318031926,0.2580644745057299,0.38151136917453143,0.7716452272991182,0.582534931393609,0.8636193794795057,0.27863776802231405,0.7554724130231353,0.8424074384667558,0.8401978968211516,0.7482824633987133,0.6879316006928295,0.6268796977751887,0.7824323125651007,0.7868226288211444,0.5422469773236122,0.7925145341637768,0.11764703575548317,0.38500693944929687,0.0,0.002422774061642798,0.0,0.12138727972869134,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9739740280228968,0.8017935050733968,0.6804081930070646,0.8300299173382433,0.39380127261803766,0.7939755253235095,0.8316938579100226,0.8856896361017526,0.7887140803683343,0.767403617058831,0.7249297077672687,0.7499113134093248,0.8042162779539015,0.8740120508502206,0.7915187368919934,0.7591911741446349,0.7014178452818272,0.4865771771260304,0.8240469200155944,0.30188673549306877,0.40027229135280945,0.7950942296671256,0.6621331817997365,0.8724470424142255,0.2962184842834193,0.7821208151667225,0.8429122448262292,0.8919423234990431,0.8343070801188279,0.7706422011134224,0.7641440098845358,0.8139395145063695,0.8015544020685119,0.5589660697983355,0.8258192643239134,0.19607839292580528,0.43792888061179736,0.0,0.006204756916186588,0.0,0.45098038478790226,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9718138733942798,0.8042357322230069,0.6653240356995495,0.8179480956497948,0.5066225123623964,0.7839481366273009,0.8431761753537085,0.8467892935087624,0.8289030315376226,0.8089975542210293,0.785087717385264,0.7513378496206283,0.7649731500103818,0.8869899670010359,0.8066727595901819,0.7893274019196014,0.68713450041252,0.6512396640393416,0.8450394270630484,0.4615383727810821,0.3839285680006378,0.7834237663668363,0.6471921569675705,0.7388162695958299,0.5283993069845154,0.8063720624716199,0.8613251746805266,0.8816825409449527,0.8091331681581444,0.7710594307275872,0.7637172497189391,0.8284190391180245,0.7947454822256554,0.6596263147065288,0.8296352004234344,0.11111108024692215,0.3085299427538118,0.0,0.0,0.0,0.5041186078398912,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.9688277157106895,0.8069863992444481,0.6339328922169641,0.8715964216170055,0.23227752289174175,0.7901531597939812,0.8365022183932221,0.876732901526841,0.8388177565647748,0.8012053524761098,0.7414995624640376,0.6628146897944089,0.7848484831496787,0.9010117479707571,0.7419821548806581,0.820334258982123,0.49533502758551723,0.6598905343245463,0.8263264706423828,0.4935064294147494,0.2784286679639651,0.7927942064568388,0.6191999424843475,0.8483155190382653,0.2663378512165493,0.7637872275111016,0.8127056367448361,0.8755811103036573,0.7827931634852173,0.7676462243525973,0.7857463003457054,0.743957124856221,0.8065644315131438,0.5198019759092246,0.8173048808172028,0.0,0.2904109573128167,0.0,0.0,0.0,0.4971962523888551,0.0,0.0,0.0,0.0,0.0,0.0
