NiftyReg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.973022033186736,0.7397363164540874,0.5777757172705437,0.8244905894935124,0.034482758224336114,0.6084213790984985,0.6624270787977464,0.8251613226842328,0.7257352003966487,0.48859682992764064,0.5672990052984661,0.6690140825439728,0.6035470652017815,0.7807995605953539,0.6051456131810384,0.31684760692230074,0.5444887094090805,0.00622665002349533,0.7221202549576975,0.0,0.22100456419173914,0.7414461574323693,0.5745246767256501,0.7517512117991293,0.05577689187473216,0.6436513628687855,0.7243530152094377,0.8088310794632717,0.6534926460577625,0.6042599161874828,0.5916349798638119,0.5808689901033628,0.3206412819809778,0.060948080920157556,0.7217943919837051,0.0,0.16311399292758116,0.0,0.0033140016295443112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9704757196338938,0.746674532784468,0.5900966882045054,0.7974953365324439,0.0059171596757816615,0.6190117967825248,0.6377173240920652,0.8437499995774489,0.6584934268724805,0.4888699149302495,0.45340256838835397,0.5828571404781341,0.6825756003238519,0.7669494607361939,0.4231728367320422,0.11635296964958941,0.628904178777638,0.0187499998828125,0.5544120572641843,0.0,0.15962441127201396,0.7433291761482613,0.5891548607627533,0.732583854835437,0.0,0.6343006991898076,0.713657214692088,0.8347835540380772,0.564455719989784,0.4815108129872002,0.4119820527685642,0.3076068847791904,0.06930461234065884,0.047999999744,0.569608241446653,0.0,0.07415254158736714,0.0,0.0017108639716778104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.9761266181387279,0.7604253643057693,0.6204137069608866,0.8620181804570524,0.1328273232179571,0.6905144865447437,0.7832231623846458,0.841425467714774,0.7969904952521245,0.6633986922399392,0.6835214431523219,0.6803634900025148,0.759156049444355,0.8650077152116834,0.6695742858921264,0.4337097439696576,0.6252446153363767,0.13071895339399378,0.7746291042051766,0.0,0.31719876089393656,0.7500722660413,0.6041743764247007,0.8351449269543305,0.31970935222788965,0.6480302301409152,0.7814993720536136,0.878028253154176,0.7607648909605655,0.6696848331275598,0.6996370220062681,0.6860420643536883,0.4330254033236617,0.27714856577515945,0.7830545509094271,0.0,0.2554890194062972,0.0,0.0025220680640344506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9666836333561549,0.7284790478434031,0.5557199702677397,0.814842027421723,0.0,0.7151500107481694,0.5691290949988426,0.8303264152516809,0.6821862338314254,0.5048749466547443,0.473740951064622,0.661581135015322,0.6299051022572323,0.7493649710753105,0.39134133624034284,0.04471374833950324,0.5852782738542267,0.06812339287838437,0.581906392278891,0.0,0.2537067524406363,0.7273175823570647,0.557071982835582,0.8292503219611115,0.016073478575505413,0.6621859705281915,0.6528463729278898,0.8319027974406963,0.66106851568569,0.47352805401626685,0.39309234539281085,0.2642924083971267,0.015321375158218657,0.07295173920902503,0.5441229783597107,0.0,0.3375527405813578,0.0,0.003933136637825598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039614722842261905
p_4,0.974106799092828,0.7543485061038003,0.6153412952006094,0.8700816627240211,0.2942528701810015,0.7012244695111423,0.8101112262534923,0.8423019039788792,0.8147185273325482,0.6316131648666289,0.68755019942259,0.7105459958468736,0.7577664959233168,0.8816204204547752,0.7454073681936613,0.5024808288171384,0.6334379880948273,0.21568627318819686,0.7783242414572796,0.21874996582031783,0.3658536563057704,0.761114373900627,0.6196857234959382,0.8499077521072577,0.4577656634172056,0.7092841052028978,0.8068408740224482,0.8617163655111535,0.7826559435093937,0.7268626655442105,0.7268201602845464,0.7361635502936149,0.5169438002169148,0.36598240254555775,0.7932400309891383,0.11320752580990079,0.5371312281936357,0.0,0.003558718829548765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9746910966357488,0.7425647681065511,0.6050667707929619,0.8967563288605457,0.1447368405182364,0.7104325156380187,0.7928026438620259,0.8706214684346771,0.8104036947073673,0.6413625298934611,0.7635266204709493,0.7257970993455156,0.7166002637009289,0.8516905787395022,0.713716033836858,0.5153021174070046,0.6530775353594023,0.34378769394579195,0.8078927766121624,0.15094336774653438,0.3697688921313623,0.7512043452281472,0.6036551796567562,0.8823205094087477,0.12472647565944775,0.6816742501046608,0.8001365261222579,0.8673926964839598,0.7918280395121727,0.689342403089106,0.7820455543053918,0.6903029738555089,0.4431190624185574,0.2711864389101275,0.7967690458747816,0.0,0.432518594938796,0.0,0.00265251987630955,0.0,0.1374045766563721,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.9716739385853106,0.7409010072341377,0.567471085217497,0.8737129419577566,0.2547425451242769,0.7829199598831798,0.7962111123958805,0.8281622907397727,0.6948770264258651,0.46221581775358966,0.6105032811624667,0.6082589268742775,0.7579564473242119,0.7598636626885255,0.573902395859802,0.0630094733134843,0.6301512747514278,0.04823989538305153,0.5656069360075094,0.0,0.4173441706141994,0.734624547700099,0.5687309576979701,0.8469960309131668,0.11517164877993745,0.7005764165115602,0.7794755569749273,0.836388712811684,0.6555155614487449,0.5198606267751756,0.6046354244550238,0.5300815919213829,0.003423819996517926,0.09142141458095546,0.5832476116214198,0.0,0.40707118773496803,0.0,0.0012084592071996423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001537504650297619
p_7,0.9755477641207861,0.7499612421073155,0.6090511780905016,0.8447664399408418,0.28163653395207866,0.6914864356315823,0.796686619959202,0.8858612093061224,0.8293956391732207,0.660027752297749,0.7133592721284927,0.7332802518579608,0.7304023211729525,0.8497338608961504,0.7366882813620529,0.5168098146826753,0.648397581753843,0.3594080312938123,0.795942184400806,0.12121210284665108,0.3385939717460978,0.7566130464763352,0.6159663579912535,0.8623733242634957,0.227692305357002,0.6837900647129393,0.8006421584976418,0.8760492745688165,0.7938675013497455,0.6928209657586454,0.7004490042752854,0.7013703663189825,0.4733375813185945,0.39207920533281054,0.7943844897389127,0.2372880953748991,0.44825396540791135,0.0,0.002063983466831956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9736672303227148,0.7544843661949844,0.6087947652164267,0.8353468737349793,0.34608378555479247,0.726332126072096,0.805290599756046,0.8320043098965494,0.8156555762352831,0.7030936813044936,0.7602905552271835,0.7174409721346497,0.7077981635142244,0.8708509460340572,0.7248899347548993,0.5083785685428875,0.5969645843298289,0.5003399014252896,0.8062844445123926,0.21874996582031783,0.3592592559327847,0.7492963969227134,0.6030074327917594,0.73552678826364,0.4779660976443551,0.7097780549269591,0.8206693354987865,0.8377914377594332,0.7116347559475188,0.7207408036347931,0.7557720805851047,0.7188384615844777,0.51875397220014,0.4296977632739963,0.8027061303994029,0.0,0.2400690825555347,0.0,0.0,0.0,0.005249343694242948,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.9711050384077291,0.7693918038868213,0.5794867768939143,0.886626401815753,0.0496350357717513,0.7235024182752071,0.8077239759139305,0.8502174538415671,0.8054187183101,0.6363636358894459,0.6695842438556087,0.636246230580085,0.7184275166623402,0.8760333566910813,0.6052244706488472,0.3782929389402188,0.48234708860095926,0.12621916163959174,0.7490253827003159,0.06060605448423692,0.3695212382365392,0.7488419718071085,0.5576594701152614,0.8582207281506891,0.04545454498497371,0.6876247989364377,0.7695178985172093,0.8408630344255197,0.7483501971531564,0.6303145015795614,0.6411090182421547,0.423505572012659,0.12608158194049943,0.11414391988744467,0.6914398274611033,0.0,0.40970988508164663,0.0,0.003162055310971895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
