PVT_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9751499870528796,0.8231526104926189,0.7169345044464844,0.8666322488097435,0.29887054475351393,0.7416458971757819,0.7700945749150427,0.7910415303375509,0.7671672244245995,0.6782109840877393,0.7215725286848158,0.8337428314667135,0.691736093916379,0.8289792442825608,0.7224216544848922,0.6743460506975137,0.7205206710546681,0.622743676690039,0.8124622414667626,0.23188402436463415,0.2604074379060457,0.7983943966065337,0.664805820222405,0.8219330590620465,0.3863829754350385,0.6759015453518256,0.7884471227464948,0.8704999141952454,0.7604478776842014,0.6205134154715839,0.6976032618623068,0.7758281103170742,0.7191111095130864,0.6102169306492867,0.8389655165181332,0.4788731719896941,0.29023746446580945,0.0,0.0016570008147721556,0.0,0.38840579147237986,0.0,0.0,0.0,0.0,0.0,0.017289225260416666
p_1,0.9728662066023673,0.8138651249758121,0.7104812970669236,0.8131676725422854,0.1493001531990645,0.7828445253245224,0.7716887112627625,0.8315499842904566,0.7613708743007124,0.6506088819389247,0.6560868643639866,0.5042654004537185,0.8114695325959328,0.8225526102143905,0.7406986644507255,0.6560389066305352,0.40335351465601527,0.48630136569947463,0.7553067016920385,0.0,0.18955042297022573,0.8095120138596072,0.6977150406689699,0.7556127780191416,0.014962593143077478,0.7789393103894602,0.8171609272168796,0.8374114112889083,0.7149406362819553,0.5527321355056055,0.5105527627928588,0.7234235042762839,0.592167621371495,0.47670901103019353,0.6845053928551673,0.045454535123969284,0.15920397811935352,0.0,0.0,0.0,0.12336448367543022,0.0,0.0,0.0,0.0,0.0,0.01804562523251488
p_2,0.9764457007815837,0.8375770779299738,0.7333252884605694,0.8701607529391416,0.46883720494104925,0.7885051674121207,0.831903641563602,0.8379175438832877,0.8130593712176234,0.679275378057109,0.6918489045957145,0.7857449515425291,0.8143879853075119,0.8673526389152951,0.7818432487200729,0.7767551912259921,0.6852726462633205,0.5985130055900278,0.8416402565623353,0.4761904006046983,0.3446272957925722,0.8144182324942427,0.6976348529563617,0.8347951297062475,0.582663086839472,0.7890188965665583,0.8600799542553629,0.86151968211076,0.793735675078004,0.638559923450308,0.6576680050038254,0.8081023445542619,0.7863165483345783,0.5739282539463845,0.8342493483422531,0.0,0.33948988267818925,0.0,0.0,0.0,0.2305084719716557,0.0,0.0,0.0,0.0,0.0,0.016102818080357142
p_3,0.9704523352195864,0.8238418305034841,0.6933195356921759,0.8260728915106357,0.3917525732809013,0.682832654301843,0.6184391315870817,0.8062545531545959,0.7645421234219163,0.6582622181358978,0.6908040855379741,0.741550014538921,0.656191073420928,0.8066039985356358,0.7087878156937767,0.6186395269988229,0.6956521712599077,0.5528846109544503,0.7940689191566692,0.18749997070312957,0.34104938008449553,0.791976256581682,0.6536046518451246,0.8699987835461516,0.2576832120841228,0.7405370428570187,0.7592859045590671,0.8181873659943928,0.7656959647799947,0.6044342938391528,0.7059336808334781,0.7470738837353019,0.6583727278965595,0.4306748439835899,0.8198809816277923,0.0,0.4107859987906713,0.0,0.00394088666068092,0.0,0.05830903620090274,0.0,0.0,0.0,0.0,0.0,0.020834205264136905
p_4,0.9751723742819634,0.8313754085935761,0.7130193273920635,0.8887271629972076,0.37909835677153325,0.7510607344068794,0.828830299511004,0.8069323694213998,0.8323893425294847,0.7560370941547727,0.7263774895043904,0.7708989130083983,0.786338886674907,0.8742870259276542,0.7548355890294541,0.6789317487272054,0.7144491013555123,0.5883904974380574,0.8008761062747585,0.36619713152153077,0.3428571405247814,0.8147806924156943,0.6867163325122762,0.8750886432056567,0.5034013567392188,0.7350835320002733,0.8254300523449655,0.8403531457907253,0.8281484651060411,0.7116682731806477,0.7648945903645862,0.8058927266252799,0.7311456513208242,0.6212018864199738,0.8265978782587199,0.18181814876033658,0.5084398950974941,0.0,0.0,0.0,0.3048327080886114,0.0,0.0,0.0,0.0,0.0,0.01527651832217262
p_5,0.9743428291122447,0.8287185873390245,0.7156287031573647,0.9020380975350903,0.28661087566306614,0.7351613594328119,0.7796499821131551,0.8597274829763513,0.8445040205043521,0.7699574862825154,0.7182044869870212,0.8514602194071998,0.7163387116596536,0.8433589988684314,0.7556766568213981,0.6824183437025074,0.5675146748825257,0.6128755312199525,0.8347172787319916,0.2499999479166775,0.34246575107900173,0.8112589463900163,0.6860173536004649,0.9089027507664061,0.450777196233456,0.7296437456359204,0.8085324361933918,0.8695491948964813,0.8585219340785992,0.7896074547777394,0.73324137728761,0.8342945013126735,0.7798043859904721,0.6847999945216,0.8405520160928323,0.2499999609375061,0.39378881742988314,0.0,0.006640106197608857,0.0,0.46054749660954114,0.0,0.0,0.0,0.0,0.0,0.017232259114583332
p_6,0.9713520941240176,0.8110533295963449,0.6673108590489084,0.9107795814658525,0.3589743567293661,0.7151659526043552,0.7993762092587161,0.7614656922754965,0.7424475156906714,0.5705487731545709,0.5707571786664303,0.8168574380414738,0.7950735532071954,0.8239755142281966,0.7726299389014698,0.6442307676006306,0.6617137163857666,0.6890380236125501,0.7973440050961034,0.4324323739956251,0.3831308049811951,0.7850881100457893,0.6105552563148963,0.8823817689039507,0.24346405029849633,0.7262534884211689,0.8173163938338011,0.7942608577587088,0.7907716777011347,0.6408956975357741,0.7206880925289993,0.7671357233162636,0.6307496807350707,0.5608974314030655,0.797479747256994,0.09999998333333611,0.4017013213530183,0.0,0.0,0.0,0.08849557326337228,0.0,0.0,0.0,0.0,0.0,0.01924961635044643
p_7,0.9770403958951602,0.8303722345198723,0.7335755579410119,0.8511630115344323,0.3790262143893168,0.7960308707525497,0.834906863939854,0.8583086463259132,0.8214654272168919,0.7552132249152609,0.6680100738841056,0.7701641657024832,0.8170003498120824,0.8616979500389346,0.7502055913340815,0.7080445896111943,0.702118457837793,0.4330244276914539,0.7734044502727566,0.1971830708192858,0.4213263951799324,0.8075100774148184,0.6926973819959591,0.8832072613906176,0.287158743304765,0.7777338881292777,0.8415319028403248,0.8628458031616402,0.841280971433753,0.7244109503725928,0.7017543842549845,0.7964748566132972,0.715128753446543,0.5945945901306713,0.8114606283195145,0.20512817882972065,0.46866840425151174,0.0,0.004145077677253081,0.0,0.4065040584308283,0.0,0.0,0.0,0.0,0.0,0.013506934756324404
p_8,0.9751604841317543,0.8373839717360724,0.7249614662812603,0.8295687880954489,0.5235087682560788,0.7896440127337868,0.838891510615667,0.800068430200691,0.8169863664893396,0.7676548795748499,0.7471435649599016,0.7457746452613568,0.770030815157876,0.867301840155901,0.7750551611020147,0.6816195727304993,0.7126185240240024,0.6403162004718087,0.8080607258195728,0.43749993164063566,0.3878676434938636,0.8085233639921391,0.6926062217502795,0.7869134732785936,0.5801011755472076,0.7962535938747249,0.8498179926644684,0.8601960019599159,0.8272859205339941,0.701035374567477,0.7029330641691324,0.8287338492726265,0.7844099188214502,0.6746626636082259,0.8550032754329278,0.038461531065090176,0.3029259870660414,0.0,0.0,0.0,0.356466871349103,0.0,0.0,0.0,0.0,0.0,0.016361490885416666
p_9,0.9726730780461835,0.8404234269755327,0.6948923834735696,0.9012241334547767,0.2885085539302133,0.7945163651702136,0.8316824838890683,0.858752863422656,0.8214104505055677,0.753487517663833,0.7361990933570157,0.6739404084182106,0.7998347432352102,0.8846314639853436,0.7813906943704468,0.7888888861496913,0.5461393571274041,0.6146572055582569,0.8102046530135458,0.6019416891318748,0.3586025025800758,0.8216577808799295,0.6657664620379306,0.8686815359414407,0.4190919625251227,0.7581969597699035,0.8115893140707364,0.8397451905822226,0.7922279165666612,0.6676005596682004,0.6875555540276543,0.7281268341419532,0.7253885989482193,0.5537790657428847,0.789255799760031,0.039999992000001594,0.29415170646119454,0.0,0.006334125048819279,0.0,0.2844311334665998,0.0,0.0,0.0,0.0,0.0,0.018094889322916665
