TransMorphBSplineJan_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9726814321140264,0.8117033782822098,0.6750423352398468,0.8498078934466434,0.3329706166162066,0.7565209403112323,0.7825745514215953,0.8288241410880207,0.8002756708473113,0.7226505514454569,0.7593948248916671,0.8105529025805419,0.7275905100434693,0.8849719420752243,0.807733812223261,0.7801551827412293,0.7072271360352981,0.6369544973356128,0.8248937669751295,0.2857142346938866,0.2638297849886827,0.8076732568714826,0.6599080575865645,0.8102431299019974,0.4515463870974599,0.7058359802671437,0.803393634376388,0.8739985428460987,0.787250036404676,0.6850876242499865,0.6878850085013218,0.8132371651987805,0.7928555852911009,0.6384504975720912,0.8285612654912313,0.434782545683689,0.31764705615422645,0.0,0.0016501650028864273,0.0,0.43920144393463806,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9710281388874961,0.8029044899399791,0.6694835914041061,0.8135613413492455,0.18150086943279461,0.783488017550102,0.7865342629301046,0.8587366194991022,0.7953848032461215,0.7142478104587885,0.6544641027975105,0.6891566231847873,0.7986664182280674,0.8944347968420682,0.7980512029059503,0.7475655412045804,0.622156277833055,0.5514771660566055,0.830798315003181,0.0,0.3011422606319599,0.8106428841147748,0.6797686703458016,0.7662548758401699,0.12615384421301779,0.7938957224461033,0.8417745396450071,0.8884907246582574,0.740023336359366,0.6983364463140855,0.6611802475688875,0.7894834973060941,0.7697247688767781,0.585526311937327,0.7958851257643506,0.0,0.28284854279991434,0.0,0.0034129692541555526,0.0,0.37533511058082814,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.973971870204771,0.8234076809949628,0.6927505444832789,0.859511259770239,0.5163551341547298,0.816792826787857,0.8529181847729104,0.8593629510295018,0.854460092812511,0.7399889677440827,0.7198705831224842,0.7915041144711568,0.8150648413304942,0.8894548784444425,0.8207764944168138,0.7898760854472024,0.736201648256403,0.6194092774733394,0.8620557882479406,0.5526315062326965,0.38227146461429856,0.8103036247934208,0.6772744137264387,0.8304580601292497,0.5546218435609539,0.8354598461880203,0.8725251157899508,0.8796680492557554,0.8165196256021997,0.6914439695806828,0.7165717365973101,0.813785789168838,0.8026183262773959,0.6723259705235487,0.8390568429321428,0.0,0.34023402033992783,0.0,0.005031446477591868,0.0,0.41850219342506184,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9681105857517984,0.8052231415390663,0.6462014019555102,0.8265475003715396,0.38085105977818023,0.7478322053045606,0.6960906561684806,0.8446591628558828,0.7889596591805242,0.7278123497100887,0.7230965531197436,0.7780462520605927,0.7021883903373255,0.8831020913779419,0.799696796665059,0.8022598849454035,0.7199696827587355,0.570480923959528,0.8241291411859566,0.2181817785124039,0.3286454453838235,0.7963643279269005,0.6414948739270526,0.8615295477315306,0.2984293154655849,0.782723964044558,0.8065983406014903,0.8602966938089612,0.7755102030799403,0.6644945237899407,0.6955958534205616,0.792529650564233,0.7466074494285531,0.5830461710334516,0.8272569437263395,0.0,0.37162954061178466,0.0,0.011741682859670423,0.0,0.07999999753846163,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.9723637850396497,0.8127917173832017,0.6660707489363734,0.8787778313961646,0.459948314470952,0.7993286979143703,0.8462034152584172,0.8385773647587148,0.8285831445267755,0.7757339271871666,0.751617940746222,0.7755400923634562,0.8114602572801105,0.8958101984919165,0.822732490444624,0.8100890183676883,0.7184249601841568,0.6132404138450146,0.8287413272262227,0.4363635570248078,0.3855125820410523,0.8163417132061545,0.6799572590889841,0.8615458867608268,0.5911949632417344,0.8287866001597493,0.8493313318197783,0.8455156945933208,0.8281590688109656,0.7497123122845106,0.78043381854707,0.8275653306149073,0.8066481972115008,0.6381534240451228,0.8382482601761063,0.16666663194445167,0.5294418815696781,0.0,0.008880994592531131,0.0,0.5579831838994423,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9712509287703099,0.8100810545013443,0.6698289229566605,0.8996396490884634,0.32036612905759576,0.7834707559487084,0.826431361499414,0.8592956214057335,0.8395745614451866,0.7876469483227776,0.713269559202184,0.8309750428840363,0.7485979011250966,0.8686512731527687,0.7975214863106921,0.7541378249950712,0.6427191941185044,0.6320754667289664,0.8357071205258705,0.2499999553571508,0.3953630238232885,0.8062373627776036,0.6592923452849087,0.8957560531308946,0.4507845870073526,0.785843621140463,0.8327667749901887,0.8702401158924084,0.837282119990312,0.8055808856414546,0.7560598227022697,0.8272638745596262,0.8118664998470544,0.6687746982705558,0.8383892898214518,0.2641508935564352,0.4635473315367392,0.0,0.00528052801795031,0.0,0.5561904655963721,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.966686235426845,0.8019694412065029,0.6188059214351932,0.9020328127027146,0.45323046814628287,0.7287938008345805,0.813200138525436,0.8327940768671269,0.7632543357399776,0.6598782763812286,0.7869154554551591,0.8260038218355535,0.7807467042812103,0.8455550147971163,0.8167980920440142,0.7726924040585722,0.6924528269223923,0.5911329976461454,0.825984820359609,0.3636363085399532,0.4178082163163821,0.7916124980772287,0.6017807341050503,0.8823747678162106,0.34042552829334544,0.754706805070919,0.8436894753428469,0.8498500331457122,0.773454867970815,0.685352409188047,0.7555927226519074,0.8152077800042372,0.7927972353409046,0.6402438959324808,0.8041124549139183,0.032786879871003295,0.4504682087212015,0.0,0.0060313630516805605,0.0,0.14147909512928955,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9753566987670025,0.8181990016416939,0.6964197781088489,0.834321522856437,0.4312938773190183,0.8026776580398929,0.843572548570809,0.8818250616921695,0.8362156652642222,0.7483666224114555,0.7086269727615384,0.7766990261099066,0.8005963458803647,0.8659878115951816,0.8135057746929552,0.773023517220109,0.700699873607658,0.591572118382722,0.835581117775108,0.2222221869488592,0.4074567216547489,0.8189674543122409,0.697540949005927,0.8740507782181289,0.33656173926680705,0.827932679971134,0.8570010874893285,0.8806551816545297,0.8189173779841398,0.7360788317039334,0.7258498392618004,0.828616351386973,0.8100874914820188,0.6551204769945748,0.8373738416009012,0.2461538082840295,0.4798041586303295,0.0,0.010277492186253935,0.0,0.4945226839667812,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9732261603887844,0.8237041548223581,0.6875837478042802,0.8332583816353079,0.5498601999081063,0.81007854071739,0.8516156822773181,0.8321337610274977,0.8456040018517942,0.7644632249074724,0.7729677711087837,0.7757785440284479,0.764546400908141,0.8812422988908382,0.8083931520614102,0.7986050543487211,0.7204695498148586,0.647154466283297,0.8525794007228021,0.38235288494810515,0.38926174170082434,0.8140350651329373,0.6846852022785589,0.7689354269031977,0.566133103907893,0.8355188783530638,0.8674767491404504,0.88463611812149,0.8298624743551245,0.7501295463259099,0.7422124092660966,0.8300902699798492,0.8136611999626743,0.6772486721296397,0.8527497397861054,0.0,0.3210930800931419,0.0,0.002298850548289074,0.0,0.5490848494328644,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.969246502863263,0.827466463199125,0.6534904705977784,0.8910249243067438,0.31347961891097775,0.8135009059590869,0.8488821272987457,0.8605772159005569,0.8233995574890857,0.7906055963370777,0.7175811854029537,0.7130434749975126,0.782492777643873,0.9006054301339737,0.8033151895060426,0.802321608732258,0.6125356096270863,0.7061403457153483,0.8364905275807671,0.6021504728870459,0.3746770001635853,0.8174574456399204,0.647588907592663,0.8842071089484801,0.42774565979484785,0.8322974079886544,0.8322487244133802,0.8785866580087806,0.8113442985690933,0.756417679254567,0.7578558207997786,0.8018080658300788,0.8095626166542715,0.6655999946752,0.815185815070434,0.06451610822061025,0.4088937071101209,0.0,0.007911392342473162,0.0,0.49706456952906913,0.0,0.0,0.0,0.0,0.0,0.0
