TransMorphBayes_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9755234240585368,0.8339878280976246,0.7199012025993675,0.8790995361381154,0.36963695962995646,0.7422139508190286,0.766358796598547,0.8330040548856171,0.8003992004556613,0.6264595843708655,0.7179619127175452,0.8470128396230797,0.7429144701707688,0.8217027158874016,0.8002211566529477,0.7599620475332969,0.7158449352057021,0.6461011084310102,0.8247046552947319,0.2857142346938866,0.3093829221522999,0.8228376053191679,0.7020083138526405,0.8347637931231419,0.4644644598151706,0.7033119704424972,0.8012840677780991,0.8845615797187838,0.775335774152418,0.591120104045804,0.7104795719094656,0.8039849682740672,0.8040961691805517,0.6184681416000849,0.8469307097155259,0.48101259734017754,0.29379561775733926,0.0,0.0,0.0,0.41265473985344236,0.0,0.0,0.0,0.0,0.0,0.013450404575892857
p_1,0.9733722750773026,0.8275603207294556,0.7178956493374073,0.8259690151148539,0.18150684620707455,0.7883645406876333,0.7638982465044815,0.8466956387198683,0.7926706817361061,0.6433358147400077,0.5964154597356609,0.6685632969721986,0.8352177927058058,0.8219239707847456,0.7925684727134951,0.7015981118637723,0.6076961488870757,0.5610169443981615,0.8134566856068489,0.0,0.28050170717785966,0.8249283201828423,0.7223436454922836,0.7959183666757309,0.1486988819944446,0.7827996167559387,0.8184928819652464,0.8760213139426434,0.7187462025042568,0.5817865423609953,0.5975875012901177,0.79199209911842,0.6982218865559181,0.5114401042298782,0.7768760974007562,0.0,0.2727272697756789,0.0,0.0017108639716778104,0.0,0.2591792600609231,0.0,0.0,0.0,0.0,0.0,0.01578732445126488
p_2,0.9774609644990849,0.8522847931908384,0.7455760420427733,0.8774734375292556,0.5593035847736281,0.8077458899950554,0.8453822749471402,0.8764230514502312,0.8441344313961516,0.6812983704732606,0.6416818993245523,0.826125327333957,0.8489998214745976,0.8782756460283917,0.8375799508885604,0.8114104574447689,0.7074351046747245,0.6252189087108677,0.8615413667722503,0.4594593973703517,0.3824928602997825,0.8381642930756972,0.7324261814396168,0.863274395422274,0.584167419616311,0.8236389803788448,0.8713068126601655,0.8940935631921888,0.8389253106582784,0.631451709619906,0.6788194424802678,0.836701609384306,0.826653550954872,0.6802480010606908,0.8642494969250459,0.0,0.33732718583108584,0.0,0.0,0.0,0.2275334586277872,0.0,0.0,0.0,0.0,0.0,0.013492983863467261
p_3,0.9711276868449,0.8340646632326075,0.6989085553229933,0.8509359042252207,0.4405286295095966,0.7314032470320984,0.6704083633230048,0.8558951960507535,0.781035739196155,0.6463714630520998,0.6928822480384836,0.7973163813654082,0.7259190304189879,0.8060021434993107,0.7670420857863642,0.7379763449724669,0.7431610914013635,0.6082949262035721,0.824083416730505,0.11940296725328846,0.3879056018591032,0.8147023862649271,0.6853396760279794,0.8817705296273524,0.3037036999542753,0.7713393882110964,0.7859486930148285,0.8511443604878205,0.7683237293738125,0.5622990739773024,0.6868288391697812,0.7888768891388797,0.7548355881169353,0.5080428920372461,0.8411436298078636,0.0,0.42069741045726994,0.0,0.009813542592605078,0.0,0.08920187584033155,0.0,0.0,0.0,0.0,0.0,0.019047328404017856
p_4,0.9756612676618682,0.8427032038005396,0.719936524961441,0.8926462011983456,0.4900990038354084,0.7925299805338469,0.8438312230084636,0.8522978879665725,0.8429009184444322,0.7235414827288758,0.7311039836667339,0.8162504628540794,0.8289542355508018,0.8917926677062633,0.8248639879327886,0.8202764953333049,0.7512343306067818,0.6272022506892019,0.8254208427979753,0.35897431295201115,0.37515842601293775,0.835473302182863,0.7185559281555358,0.875571250216185,0.5820379915195337,0.7988761691727063,0.8445374089905606,0.8503214979869603,0.8459233224698529,0.6911208739234486,0.7443220131677041,0.8442864389595872,0.8280151410816248,0.6280323407814532,0.8402096228297193,0.22222217283951712,0.5383427661433723,0.0,0.0035682426086686655,0.0,0.3722627691938836,0.0,0.0,0.0,0.0,0.0,0.011499459402901785
p_5,0.974652291560764,0.8381246465455593,0.7211974859127781,0.9068306373728563,0.3254658344662629,0.7535380671831241,0.8073847107933612,0.8565443835730614,0.8371425407561637,0.7547532160987582,0.6200941899003292,0.8655207258202205,0.7731414849564953,0.8479023766055386,0.8018563349456655,0.7635694548801918,0.5717656288959275,0.6289308126656383,0.8312621351152795,0.28571424036281895,0.3676470563659956,0.8293940696040835,0.712217486733988,0.916261573808952,0.46478872584804615,0.7651010983075621,0.8253137919691977,0.8744208430865751,0.8472370377136367,0.7853214481459118,0.7337469632216159,0.8525152430902103,0.7918622827546627,0.6963562696651314,0.8448621809643445,0.29999995000000834,0.43119265807802376,0.0,0.0,0.0,0.3418013817343951,0.0,0.0,0.0,0.0,0.0,0.014308820452008928
p_6,0.9713911158750225,0.8247731852963419,0.6712781626331384,0.9170001479875005,0.4373540821995791,0.7229796392674276,0.8086457987634401,0.8141371664218778,0.7709700938840627,0.5323257760197604,0.538617296677416,0.8390742711542672,0.8099233841482609,0.8196542309835959,0.8243875062423907,0.743966158885379,0.678663235585279,0.5780933004250173,0.8242348301197111,0.44776112719983174,0.445054941998249,0.8077319552301678,0.6448144588202759,0.8964421456488123,0.32181638379253324,0.753035082508117,0.828555498080578,0.8428072794547449,0.7897378686115585,0.5950859943549313,0.6774566458324702,0.8210544995374982,0.7737191632501917,0.6042064951796702,0.8105672373117448,0.12987011300388143,0.46069651512091286,0.0,0.004836759341978481,0.0,0.1327014186563645,0.0,0.0,0.0,0.0,0.0,0.01622038341703869
p_7,0.9779346885091686,0.8415926658858428,0.7390472353606515,0.8566713581242191,0.4786169201217751,0.8165340404141297,0.8455394128630912,0.8829170499632025,0.8401591977915532,0.7060535499553225,0.6396781477503692,0.8172293332664752,0.8304686071458864,0.8620836889872517,0.8219689518353617,0.8047371438338037,0.7087505411025227,0.5557377003628058,0.8187854866530792,0.3188405335013719,0.47736092834824756,0.8317876632903625,0.7312627947704997,0.8904493300754195,0.37090908641322323,0.8229892139220373,0.8597499062414563,0.8798000449444444,0.8405323361656172,0.6852526837895255,0.659808610861702,0.8383029809502672,0.8318181797176308,0.6457268031721928,0.8505699898833624,0.21428568877551324,0.47837149822918895,0.0,0.006198347043405506,0.0,0.48284959785158843,0.0,0.0,0.0,0.0,0.0,0.009678431919642858
p_8,0.976418756003562,0.848395384796168,0.7326095551469988,0.8525084111623018,0.583840133937097,0.8033375578782906,0.848846449406039,0.8596673025035902,0.8445896867046845,0.7065557827988381,0.7036157278869999,0.7941176441392733,0.7976527705429932,0.8683831759211785,0.8339127499900048,0.813832850680597,0.7205716407650559,0.6634382513039689,0.8480186055568311,0.3846153353057262,0.41558441198628215,0.8318932641054106,0.7301975706194469,0.8054121409957165,0.5822368373171313,0.8299822337694982,0.8658626286672588,0.8793112837795939,0.8539973776487584,0.6763415449698037,0.6878172571375196,0.8439118504682525,0.8126189806564618,0.6906906855053252,0.8578854535803533,0.08163263640150277,0.2760372542249174,0.0,0.0,0.0,0.37681158965203393,0.0,0.0,0.0,0.0,0.0,0.013794090634300595
p_9,0.9736410782019266,0.8535243408731182,0.7044501054085746,0.9105682036242565,0.35259258736899873,0.8268871052836277,0.8470546144477967,0.8716046422929253,0.8451935070596835,0.7177527224175877,0.679359181148458,0.7458589647616707,0.8319511112353752,0.8925536328072183,0.8063587422626628,0.8099688445483944,0.5877149848269534,0.6782061315640745,0.8344243349687868,0.5156249597168,0.4096080884348414,0.8427481192166171,0.698650254026097,0.8936616713468007,0.47029076523020524,0.8096857881782398,0.8314007520030169,0.8758561638479353,0.8104071860804957,0.6777525297688984,0.7261744950197438,0.8175402050011105,0.8347685661066507,0.6354716933171948,0.8193057058458059,0.04999998750000312,0.3496826292574574,0.0,0.003177124676909256,0.0,0.36061380613025823,0.0,0.0,0.0,0.0,0.0,0.01585446312313988
