TransMorphDiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9735203903551041,0.7477831376244811,0.5821005131336788,0.8250946674725746,0.09166666475694449,0.5225677174930347,0.5450721486028802,0.7590560645528053,0.6964061313189167,0.4999999995431287,0.4476969426437862,0.6516853911048069,0.6094308923270539,0.7459351411518936,0.5778597064345982,0.17160808919770648,0.44560943448838164,0.015125072628708129,0.6091338073989172,0.0,0.43809523430220576,0.7459973693967138,0.5798180353942463,0.7387309286245398,0.15172413531510112,0.5084859789443005,0.595485374262671,0.805135062420361,0.6054267081924712,0.40399295321590045,0.2660240957445203,0.6242081251590438,0.24388018816499896,0.09322033841876308,0.719112126065683,0.0,0.3040604315008458,0.0,0.004962779115278915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9719559297759621,0.7554454412722219,0.6027672753510077,0.7814139020599735,0.030075186839278692,0.547388917815836,0.5568221579371269,0.7535168192173527,0.6317156681642276,0.3726259128238171,0.2725547692383047,0.36159600772072314,0.6113647878960812,0.7796629565992871,0.6075058633624845,0.2630522083071241,0.3985239827889054,0.0,0.6018893382536403,0.0,0.3156779627576487,0.7478571520265771,0.6002602906127853,0.7191816927985009,0.0,0.5308567633932625,0.6284122344180012,0.7818241931029124,0.64806521914334,0.2488406820334507,0.0755540630027635,0.5280219775384414,0.2541371154637454,0.007358351675067317,0.6189999224755375,0.0,0.29197079936775183,0.0,0.003415883830778106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.9777750710749146,0.7732832238009083,0.6405431590551715,0.8432904159654742,0.40975609089827497,0.5609768575198293,0.6862009769105484,0.8123491435238006,0.802845286540788,0.46709401659498506,0.4012081540367275,0.6214285682580175,0.7271531870980645,0.8153280299691509,0.6411277958513354,0.3365774526833385,0.4716062711108368,0.20399999864,0.7157652467772283,0.0,0.4003115233620598,0.7580948034240793,0.6256203686015487,0.8317665632610615,0.39946018354304746,0.5378349054747366,0.7161863156192425,0.8495301529383072,0.7239782006485311,0.386607706478619,0.44333249826536775,0.6560707226031499,0.35303030236168503,0.3290598267160981,0.7668519798759104,0.0,0.38532109738237524,0.0,0.002528444974355942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9679706853273039,0.7356445663524761,0.559666118651724,0.8031922083029946,0.08830021880131968,0.6347762369337108,0.4571797562018228,0.7745411009704005,0.6958488548485247,0.49666038662728174,0.37382804633188105,0.5706806257823707,0.5427323751006475,0.7089850537728848,0.5367113755223931,0.15393585975911397,0.40075258513286643,0.018890200596870126,0.5153827612536085,0.0,0.3287878762970616,0.7330907125733386,0.5622240696881777,0.7872309827027604,0.06304728435994249,0.568117348942233,0.5927821297442766,0.8222808865774652,0.6561358002403209,0.42615539147173864,0.2143548070915945,0.5297588935004561,0.18213716079403963,0.14533761964413106,0.6002045789596313,0.0,0.40600724802689153,0.0,0.001964636522940702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.9734761819085023,0.7658765737544692,0.6220163033081022,0.8557998723030061,0.3304940318484833,0.5666761327910511,0.7296184621992333,0.7710335885241205,0.7595588985266837,0.6206134755539013,0.6413210433154358,0.6586608418534904,0.6776707916605439,0.8229305824261552,0.6629483807273093,0.33899062005584946,0.42448018664385956,0.1354916059023285,0.665364219308434,0.0338982993392713,0.35352422712817055,0.763175895223141,0.6267538246821458,0.821165632749006,0.39029768037158014,0.5501397733042983,0.7198792224404696,0.817001561807358,0.7520615714655727,0.5625417416634465,0.5021238531139641,0.5888888883436214,0.3698873733058934,0.45307443072443737,0.7553856838469548,0.058823512110731724,0.4270295615812784,0.0,0.003565062356817626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9738346096722786,0.7556130789677682,0.6192881856928415,0.8702479803224741,0.12571428331972795,0.5874942257196711,0.6969790328885769,0.7854011269228486,0.6913502102411918,0.5063631470636645,0.5125190496135009,0.6676008949899078,0.6213191972281531,0.7937681540620604,0.7128395302066357,0.4407438233673499,0.5271446310520321,0.12543152977312125,0.7252994005189939,0.0,0.4324612897359248,0.756882171270469,0.614898301157061,0.8685239489037989,0.23766815610609518,0.5545867830903769,0.7058880999881222,0.8097199827991403,0.7375973752177148,0.541627863157359,0.49719816480591394,0.7354260082955743,0.41679748740816824,0.15514809481559877,0.7372889343106416,0.0,0.38197424687782056,0.0,0.003986710936965376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.9713646189643865,0.7457938875808398,0.5624097065642047,0.8664575089710932,0.3547169766702267,0.691593692459869,0.7117068580918997,0.7538039675499737,0.6899438256526668,0.5277058514347438,0.5944670800032874,0.6645980235131226,0.6766425048476912,0.76838367551997,0.6365962279573617,0.22337363227139967,0.2809441549744148,0.03521126735766713,0.6099552272759589,0.0,0.4492492465510556,0.7397682882738028,0.5588926376049841,0.8213569692162228,0.1866666631111112,0.6001593116775276,0.6892280234217718,0.8166058389503844,0.6696264204985096,0.3638443932142247,0.3607705771436721,0.6868333618754735,0.3113273100915092,0.1722408012354448,0.7328811363591077,0.0,0.4776766342536773,0.0,0.001211387030821399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9761293858208853,0.7600083159848483,0.621665347451284,0.8324531423669602,0.43684991921471145,0.5936888195285163,0.7403447601840015,0.8419813839510103,0.7936826262300293,0.5013467070666419,0.5577933437876679,0.6792452802920703,0.7113062552989984,0.804805028022239,0.7075664615099773,0.4102564092640145,0.49573507026726005,0.08502289022221786,0.7120644429448628,0.0,0.4743668902139167,0.7586199819279643,0.6224172036803348,0.8341540769409256,0.18577074731678367,0.5251258862346879,0.7105508588773316,0.8453518200527584,0.7535871644406427,0.4590255735868718,0.3788167929894638,0.6822669819487885,0.40437368040595884,0.13468013377319776,0.7420707248067164,0.05128203813281073,0.4646348449417203,0.0,0.0020661156811351685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9741708841907881,0.7730361709788377,0.6311343773474833,0.8203932018102893,0.3698630094764497,0.6311743362016068,0.7448911665859114,0.788846317162172,0.81230411977678,0.554653841744661,0.5387850454701284,0.6497421632299001,0.6958077691824954,0.8094832866754913,0.6508339769680394,0.3213233620636226,0.40872167418246397,0.1831591875650941,0.6973448299348205,0.0,0.4104595847031729,0.7529861319715343,0.6154226872061839,0.7484076425176139,0.4642408975628495,0.5573469997461195,0.7260167467730361,0.8299137510955623,0.7072858958851216,0.44946968135934595,0.40212128106497286,0.6927863108178239,0.3595178712395722,0.35953608015762833,0.7501054223242765,0.0,0.2795497159516912,0.0,0.004592422450144404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.971319884446621,0.7794593864254652,0.5820626049444575,0.855871474556209,0.2343324186830404,0.5921609756842324,0.7240449911369728,0.8096562328799146,0.7511137859709648,0.5690178867963063,0.5681772797600774,0.611313865824298,0.6945198027820949,0.8273848372045988,0.6441323486739677,0.33551198165710244,0.29855371746614817,0.07956403226395622,0.7205617224399262,0.1428571224489825,0.2891986045923426,0.7565934305283779,0.5646612383902733,0.8298643468192799,0.19624819341633198,0.5481566160641496,0.6859571179690201,0.8415639057673053,0.7298283253971799,0.4232277810932481,0.38715596241477995,0.549835705914731,0.3629460889086065,0.201936374813718,0.7414250427682932,0.0,0.30354468146008645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_10,0.9735921330634812,0.7751918759016626,0.5787623584461207,0.8136156587383875,0.1098901074749427,0.6156906487050212,0.7227429834976675,0.8120450375427887,0.7992705473501751,0.4814270307934656,0.5254237276718302,0.6827344404788148,0.6548463344073162,0.8265704933388562,0.6131837942170019,0.3372852641246425,0.416352875651679,0.26483357261336055,0.6897618837017434,0.0,0.40776698746347445,0.7808741353063411,0.58993531207733,0.7996284116052391,0.3141762391920261,0.5860661605710178,0.7189656653074823,0.8445838011923423,0.7189701887276827,0.4918521273006312,0.5127442639916222,0.5991706274914832,0.35373364058172896,0.28638866808506164,0.7641996551082619,0.0,0.43648208184702225,0.0,0.003633060820771473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_11,0.969637878061092,0.7511223520937975,0.6110996543989208,0.8673910747028902,0.47966631408064325,0.5920239878876513,0.7156571034267996,0.8193612189078124,0.7751826556771079,0.4336908183506053,0.5188303045661713,0.6249495332056942,0.6259017498251399,0.781191058510674,0.705349868104146,0.3425598327938401,0.5146352096346212,0.11150821936019857,0.6699818297121719,0.0,0.4670004530405077,0.7480752602775731,0.5951712337818639,0.863705365697411,0.2843216873735038,0.5193556766867248,0.7050316506488369,0.8150654319725085,0.7422871714888806,0.450688499766758,0.4417269766864812,0.6123412564210833,0.2602649002313495,0.2393397507610746,0.7010383094333706,0.0,0.49636285624149395,0.0,0.00782268573779214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
