TransMorphJan_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9747418888378617,0.8323023445628961,0.7159822758920842,0.8622376105335479,0.35777777380246917,0.7310307559033118,0.7618223394362834,0.8344759009710211,0.7884231525685441,0.6433953893579395,0.6976247646180284,0.8334678481746897,0.702033183683026,0.8399143552855791,0.8142728086591935,0.7784290720318193,0.6885001835187935,0.6044842995113516,0.8325964448785467,0.26865667631989903,0.2657463307528358,0.8209235119894089,0.6961147445904166,0.8250161550764585,0.454724404973185,0.6991906676540238,0.7977300771373627,0.875783057240373,0.7702433785852696,0.605604445801755,0.6884474629157149,0.8148084954236898,0.8012192449352945,0.6053975156426148,0.8376263728899989,0.4470587709342622,0.28354430140468945,0.0,0.004942339333259149,0.0,0.35253455815052354,0.0,0.0,0.0,0.0,0.0,0.013689168294270833
p_1,0.9727737013416402,0.8254485882705536,0.7146490431537668,0.814136125170076,0.17747439970180207,0.7790665560206511,0.767485280934716,0.8471477448306278,0.7944225064234668,0.6190341171732028,0.6123083745560801,0.6230389931732899,0.8197955875564003,0.8336518896304254,0.7911547904071492,0.718320418099674,0.5558739228468293,0.5716498793830374,0.804726784441228,0.0,0.2750533019717132,0.822578433738339,0.7164389331251582,0.7761436574501148,0.13143871880215421,0.7732354101440408,0.8180313955331796,0.8691918412977602,0.7200477318376519,0.5984388545837537,0.5771303121589896,0.7822999173428936,0.7455507437576943,0.5843293453895794,0.7673325492971861,0.0,0.23542600632930488,0.0,0.0017064846270777763,0.0,0.2951541785208331,0.0,0.0,0.0,0.0,0.0,0.014749000186011905
p_2,0.9765313966288128,0.8462157614253313,0.7352313304749887,0.8647955545116609,0.5304437509758126,0.8033503275244129,0.8416271747364862,0.8570567669898417,0.8283933331276004,0.6756321831314572,0.6449650117281259,0.7830109302648824,0.8292349712615523,0.8768760015887956,0.8338810549836945,0.7935755639979579,0.6894514738841709,0.6018916543259532,0.8497259870688145,0.5789472922437773,0.3737465781791561,0.83414829223751,0.7274688382218728,0.8471316598517212,0.5656387615362224,0.8169022076119806,0.8682445095932007,0.881376616499038,0.8246711775958739,0.6410621139864129,0.6952354082457417,0.8273442474725237,0.8154863983938093,0.6363636308010172,0.8464835370675204,0.13333330370371027,0.3636363603953979,0.0,0.0,0.0,0.1974584535927815,0.0,0.0,0.0,0.0,0.0,0.012809971400669643
p_3,0.970324094346043,0.8347117292133587,0.6977480277756807,0.833658182973961,0.415254232889256,0.7321040768834042,0.6691080090895567,0.8400043384098035,0.7735242536915192,0.6732965727911613,0.6895205018669549,0.7832775893535866,0.7284983711564427,0.8180875666611233,0.7822094684053472,0.7646137767102981,0.7226331334222147,0.628657159574965,0.8286048057171188,0.12499998437500195,0.34770317775474785,0.815537912486809,0.6857544496652475,0.8720906613298304,0.30439952075624827,0.7727062521335769,0.782769515246027,0.8485428754421981,0.7629142616893677,0.5893416922301304,0.6819742474635746,0.8037170151628675,0.7393269695144978,0.5504587119891303,0.8272002706230285,0.0,0.42873302924924755,0.0,0.011764705767012688,0.0,0.08799999824000004,0.0,0.0,0.0,0.0,0.0,0.017521449497767856
p_4,0.9752345191755254,0.8404535244261339,0.7169224073404078,0.8875671620923236,0.4814814759087792,0.7814771603154514,0.8372807578491008,0.812843213710163,0.8384234411489647,0.7388024059413596,0.7407061006763945,0.8016701433483989,0.8137419993032301,0.8897607042374208,0.8300160136925006,0.8311390932136832,0.7180667406288195,0.6249130088732567,0.8161750705840389,0.3142856693877615,0.3720930207834351,0.8345506653443912,0.7178756599731348,0.8716744910962528,0.5678180238599998,0.7936028965619786,0.8422886126161943,0.8438530771823933,0.8407262215383472,0.707390345776697,0.7539555130613266,0.8320439730944178,0.8199889541137798,0.6271637774489762,0.8391233602841197,0.12987011300388143,0.5145482362708105,0.0,0.0035682426086686655,0.0,0.3480225949375978,0.0,0.0,0.0,0.0,0.0,0.011134265718005952
p_5,0.9741413831792313,0.8381581529721724,0.7198818625863276,0.8994680706478125,0.3459595915914193,0.7464168969240581,0.8040384494722521,0.8608685656819459,0.8328260860512761,0.7589654833583641,0.6464968135708683,0.8632051900569017,0.7442593409629461,0.8488290419921677,0.8059288529585683,0.7550224864916867,0.6351039236524098,0.6207951022874992,0.8323252346729547,0.32727266776860586,0.37726097947505827,0.8282307065379447,0.7084935204247044,0.9108893855981164,0.433604330167963,0.7546177524517003,0.820045078826443,0.8719673307278601,0.8486017348670292,0.7840550076342176,0.7142857123158143,0.8384012231417085,0.8011022024020485,0.695374795092705,0.8329992606466935,0.28169010117040827,0.42694063683253064,0.0,0.005301524153071411,0.0,0.3271889363227081,0.0,0.0,0.0,0.0,0.0,0.013711402529761905
p_6,0.9706321412484636,0.8241329625829162,0.6672408498593704,0.9081250456784437,0.44159999646720005,0.7212908443702434,0.8034031902533405,0.7967695409306204,0.7598522158129899,0.5459637153951495,0.6168071780886397,0.8297213600884381,0.7925771751776324,0.8320613298141515,0.8260869557703412,0.7639657756316915,0.6696787114975968,0.6107030366138192,0.8168178952323979,0.37499994140625914,0.39724137657074915,0.8066293774096328,0.6439972653015494,0.8896355802640329,0.32220038976227516,0.7412809279646546,0.8218439911230814,0.8211484942947455,0.7678471042519988,0.5514355450988777,0.5709376520104623,0.830836236210073,0.7626141259908359,0.6269592410976046,0.8263228094030033,0.1558441356046577,0.4340295444012759,0.0,0.0036210017886481485,0.0,0.14553014250457086,0.0,0.0,0.0,0.0,0.0,0.016087849934895832
p_7,0.9772056363864011,0.8394891934840167,0.736483772596772,0.8407692303650148,0.45218945082940615,0.8138101107168073,0.8410613988686707,0.8673965931943173,0.8232290991407415,0.7218468461694381,0.6822877281877356,0.7702290046937824,0.8091416594397389,0.8664238604456297,0.8165155687657514,0.8088235271243678,0.6864006834560245,0.5533980537750967,0.8328830559312206,0.17142854693877901,0.4315245450159913,0.8291005777501635,0.7261875610231835,0.8825284141213124,0.35362997243993005,0.8100883808671547,0.848897943499173,0.8694805561711927,0.8344916941518534,0.7132169569219097,0.7008419992549727,0.8234707106840927,0.817629177260311,0.6487272680092563,0.8360840585996063,0.18390802483815805,0.5033434619857541,0.0,0.004132231362270337,0.0,0.4613259604789232,0.0,0.0,0.0,0.0,0.0,0.0095245361328125
p_8,0.9754900229853543,0.8442174217799336,0.7286846694030376,0.8288235576866932,0.5663265257965432,0.7953645528759398,0.8408623159540927,0.848892317398384,0.8316209345683296,0.7246285826275073,0.7031500248180725,0.7834549851113833,0.7811526464541421,0.8720274664127163,0.8305499879419395,0.8083357769053836,0.6742815008316819,0.6379984312900826,0.8468042541623746,0.4516128303850273,0.37976782438003465,0.8303342156393028,0.7251638788722659,0.791732908680681,0.5735785905219182,0.820024240826444,0.8598995153070816,0.8746381160896717,0.8451621293851255,0.6941086783250477,0.7088542977574527,0.8307785388959474,0.8127600532239665,0.691964280565742,0.8474193843683188,0.07017542628501293,0.3006644493300295,0.0,0.0,0.0,0.312883432383605,0.0,0.0,0.0,0.0,0.0,0.012615821475074404
p_9,0.9727987729751224,0.8528085532943398,0.7018074166307572,0.9015883410016952,0.3422291939995417,0.8218667966479865,0.8463460725838569,0.8602787021455921,0.8377802820521355,0.7201520905701977,0.6750653656404436,0.7112323751194525,0.8167244349724341,0.8925889290228616,0.8146694458301614,0.8048526835187082,0.575187967221861,0.654627534577671,0.8258725700223605,0.5645160835067674,0.40837032080931945,0.841094285021316,0.6951623582080956,0.8921131188353889,0.44736841570133473,0.8168329867967478,0.831664669916163,0.8779380172580926,0.8164890492838869,0.6872838243262627,0.7298731240372016,0.7969798648166588,0.8064604412634534,0.6472727225652893,0.8152527334562492,0.041666657986112916,0.38583106056767813,0.0,0.004746835405483897,0.0,0.31353918867530656,0.0,0.0,0.0,0.0,0.0,0.014679536365327381
