ViTVNet_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9754463701946943,0.8260663424311282,0.71967731189283,0.8695049586948309,0.32892249216519387,0.7465484365747287,0.7736923727073388,0.8111211520859491,0.7854504109328639,0.6359933950071619,0.7255765723618124,0.825957097947442,0.7132370335940398,0.8402716365207362,0.7403367769418898,0.6660486658955999,0.7116382479183163,0.6412078095807477,0.8142265186341276,0.23880593450657692,0.32812499743652346,0.8058191077575724,0.6741505696876472,0.817050274099819,0.4095744644541271,0.6811533831618176,0.7948860477461978,0.8847807869953752,0.7753534099948473,0.5975897913544544,0.7040391659631844,0.772968594643239,0.7074157287473805,0.5742434864585257,0.8324182999281758,0.5161289490114598,0.30188678986374967,0.0,0.0016570008147721556,0.0,0.344923500070605,0.0,0.0,0.0,0.0,0.0,0.015232631138392858
p_1,0.9736806964617133,0.8209144435478811,0.718397792566608,0.8184937477066044,0.1500815636202029,0.7906811897099257,0.7740347958241472,0.8331681873099515,0.7794210582993034,0.6624309386165461,0.6781062628114405,0.5737991241318815,0.8325305653343266,0.8267252232998487,0.7770132757272863,0.6987128954591203,0.546128880175573,0.587096769458897,0.7819853244648854,0.0,0.23935557837335353,0.8151938104006317,0.7064920057569747,0.757408171062808,0.15613382609416682,0.7893897940313096,0.8284498118671767,0.831407615376566,0.7056377635983395,0.5920537207684633,0.587106675773011,0.7403174596459706,0.6692749069658974,0.47898088866891153,0.7057335575836985,0.0,0.19473081105692083,0.0,0.0,0.0,0.28037382522491067,0.0,0.0,0.0,0.0,0.0,0.01578950427827381
p_2,0.9768430430387375,0.8417673709740593,0.7404335215853611,0.8675586577140011,0.4325323435070948,0.7988436383847866,0.8319121108532624,0.8307467586691335,0.823045266463343,0.684054668924767,0.705949983598879,0.7719587597032628,0.811569970219746,0.8850447252005166,0.8014169610320724,0.7640984888427362,0.7283582058492186,0.6544821527025052,0.835438335033954,0.5333332622222317,0.4136078745424541,0.8201988950843296,0.7071016677535156,0.8349313288190391,0.5345247722621871,0.7922822872726454,0.8613904907551198,0.8708064802320024,0.7950342021851606,0.6469760892557711,0.7020632717962496,0.8026769833706191,0.8105185529355651,0.5746527727894725,0.8381907637791534,0.0,0.34828495735897136,0.0,0.0,0.0,0.23646408578492722,0.0,0.0,0.0,0.0,0.0,0.01398954845610119
p_3,0.9707276346630003,0.8279384355867662,0.7003410784097879,0.8328209709726561,0.41356673508132674,0.7382730863998276,0.6636926413007226,0.8084224669270188,0.7557741010940634,0.5696818976586033,0.6669687343294773,0.7504198832703396,0.6788707528035494,0.8284844873165004,0.7377579919690834,0.616080935526941,0.6963657651568356,0.6364347096447638,0.8035102375231841,0.22641505161980158,0.3870967716451825,0.8003138023586049,0.6617371845430052,0.8733504851550542,0.27554534700866423,0.7538272119418711,0.7778019442558708,0.8464552898429787,0.7661731348990621,0.5970642552765002,0.7250718081143377,0.7533895192805153,0.6863817080358308,0.48320413124545136,0.8239089821498481,0.0,0.46161879654507154,0.0,0.003933136637825598,0.0,0.05673758731116815,0.0,0.0,0.0,0.0,0.0,0.01910008021763393
p_4,0.9752950674459585,0.8372001975335662,0.7240003819230918,0.8920779840873468,0.3551401835968207,0.7647508638654297,0.8277543126336948,0.7657122900571972,0.8372333807856354,0.6983884803104906,0.7022900748041656,0.7620041727139729,0.7744471731786288,0.8780374746611689,0.7879981455190013,0.7113043457643352,0.7518409397944,0.6188881405298852,0.7810061111603139,0.19230765532545088,0.37692823355514266,0.8202837452861925,0.699142356463218,0.8676993997262129,0.5494327346075143,0.7590688590294813,0.8299970885675335,0.8543259106822167,0.8275356236090364,0.7342779495979446,0.7918313553099883,0.8214433836359982,0.7810115829866866,0.5729099120355806,0.8125714277975511,0.14705880190311735,0.4791666642898479,0.0,0.0017873100823296685,0.0,0.3343195216816639,0.0,0.0,0.0,0.0,0.0,0.012700980050223215
p_5,0.9746366239299188,0.8320936899759268,0.7217756024433486,0.9078410995902695,0.28151260208495166,0.7488567191002439,0.7824541062197137,0.8538506755709285,0.8490290707722201,0.7874748942966269,0.716641677369711,0.8359868566186837,0.6913099855354302,0.8598569967599883,0.7919959972066073,0.760580782327523,0.6645138117527312,0.6507806027051717,0.8308266973057833,0.29999995000000834,0.2673267307826964,0.8160632746116102,0.6930190605418824,0.9075996556043591,0.4690026890969988,0.7446713176903695,0.8125316202789847,0.8804089390867755,0.8521888035404166,0.7910350592476192,0.7408383845482773,0.8410878415227065,0.8067096753375234,0.6481345965754601,0.8363866068262933,0.32258059313216236,0.3801065696855739,0.0,0.005312084958087085,0.0,0.35603714619137544,0.0,0.0,0.0,0.0,0.0,0.014181663876488095
p_6,0.9704716184220412,0.8168128453317886,0.6694323265588427,0.9130975911088909,0.371120105458029,0.7214717786143011,0.8067166329773194,0.7639126077593118,0.7626927406760778,0.5659218462713949,0.41949521201190826,0.809623428845127,0.7839349249552027,0.830251813772044,0.7976077455879934,0.6281075580210361,0.5940130935733718,0.6375838854856389,0.7942173828357868,0.34285709387755803,0.38656613854306965,0.7889691027083418,0.616851883076016,0.8770730786979738,0.28545618531656564,0.7262602721142498,0.8250692066281479,0.8337979304752537,0.7827547583619767,0.6289661624763304,0.6974244105320843,0.7623762369248476,0.6157079048707436,0.5311004742336486,0.7836236926971919,0.0338982993392713,0.4279518051664973,0.0,0.003625377621598927,0.0,0.10928961450028377,0.0,0.0,0.0,0.0,0.0,0.01704464867001488
p_7,0.9776271852650309,0.8315810497172007,0.739854800181537,0.8405077517258384,0.3448806747892173,0.8040525702443296,0.8386145024104952,0.8137084631158339,0.8373720346800932,0.7259773125283798,0.6867557698985279,0.7863733116168441,0.8121546947303959,0.8720276781649046,0.7678142506326919,0.6731506022011476,0.7162489865955982,0.5608465566073578,0.7583419487185432,0.11764704498270058,0.4917833201960845,0.8171503988386908,0.7098050044879876,0.881056265553342,0.32579185151819173,0.7917212141413499,0.8488745077349865,0.8675809606617604,0.8166939433987679,0.7089516960875776,0.7240821964348138,0.8046330455057062,0.7238144848259133,0.5747282569651613,0.8146462548462492,0.20779218080621029,0.4537815098812635,0.0,0.0020746887751588302,0.0,0.3523654102387372,0.0,0.0,0.0,0.0,0.0,0.01098385765438988
p_8,0.9755564083022445,0.8400352816354314,0.7308142940730895,0.8305101531300099,0.48990953034161777,0.7948772337076742,0.8387231760511356,0.8004560998857149,0.827777108162502,0.7540257641364475,0.7613028664042225,0.7733428340222992,0.7588126145476575,0.873009793570606,0.7824401359379246,0.6952491289245389,0.7270773612927028,0.697492157543165,0.8088920752878342,0.38356159129293266,0.43945468773492635,0.8146773174385438,0.7022628978553711,0.7672413786743689,0.5737051747115126,0.8061424775412358,0.8576072821288943,0.8742666003869789,0.8211159011876181,0.6971054061200378,0.7101414511864267,0.8387682979921572,0.8197251392623952,0.6313497777115401,0.849049570584188,0.04347825141777143,0.3076923051472928,0.0,0.0,0.0,0.37997432118133095,0.0,0.0,0.0,0.0,0.0,0.01399565197172619
p_9,0.9728756875164364,0.8448746502948609,0.7007457028631378,0.8974897708455463,0.3018867886555121,0.7889123263350329,0.8244618259275656,0.8074597410683854,0.8252862110188076,0.7423335819536896,0.735771476442823,0.6743801625025613,0.7860884123484425,0.8864502585320744,0.7807917879022583,0.7960961979919965,0.5114638425420465,0.651975678936355,0.8081129069930714,0.38596487842413346,0.28419452671584705,0.827130641877656,0.6773634746205071,0.8640789557978145,0.35128204677843533,0.7777643209465409,0.8176977724017376,0.844380582967214,0.7967972815761285,0.6664668258728349,0.7274316923990565,0.7197048302551542,0.7320224698538694,0.4376811562486873,0.7873783536937203,0.05263156509695655,0.23986094878411965,0.0,0.0,0.0,0.2965116235972148,0.0,0.0,0.0,0.0,0.0,0.015819149925595237
