VxmDiff_mse_1_diffusion_0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9733256716345712,0.7383527659538401,0.5716661668829868,0.8072641456895993,0.07191011074359302,0.5515654351046391,0.6010479378593055,0.7272353541997763,0.5880028220352819,0.6056185840035849,0.5997679802788709,0.6331821107155472,0.3622222208806584,0.7405032489708151,0.5099951238322817,0.291395516465301,0.3975035986677695,0.14884392956037623,0.6706719362287179,0.20833328993056457,0.3862660911050121,0.738655599391228,0.5530728783032784,0.7194920407762964,0.03072196573391758,0.5339909860799282,0.6112018595989193,0.8190380082862215,0.6555642013142969,0.5454360222642257,0.561410380878726,0.5858661191629069,0.385153833004796,0.24808183984602405,0.7561428247671719,0.0,0.34296028571335485,0.0,0.0033030552989012775,0.0,0.02178649190007643,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9727909312990919,0.7534486690846843,0.602347439672926,0.7423390492392894,0.0,0.5739135713522998,0.6151973778970937,0.7531736180427729,0.5410689341867857,0.5506047596171637,0.4282982784762615,0.12998522799124648,0.5562565705671488,0.7778287396936957,0.574540223389972,0.2840929886800421,0.2113365975413814,0.013114754012362268,0.6327903390608718,0.0,0.3585564568270494,0.7465929386863739,0.5839853281642501,0.693100357646617,0.0206185563467602,0.5617303243480448,0.6582574959169993,0.8223721476940968,0.7374377538055255,0.3617003979828494,0.31340390589920397,0.5245483105611269,0.384651973387265,0.08160621708804264,0.6278616302246973,0.0,0.12198581387254165,0.0,0.005119453881233329,0.0,0.01197604754562732,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.9778012831913376,0.7630060690720575,0.6270758719059589,0.8172287068648786,0.16498316220567066,0.5856978288727164,0.6903677709062422,0.7671153395410099,0.7248712181681797,0.5473473467994521,0.5932909436674174,0.5443298941013923,0.6351911546863401,0.8065781783443395,0.619128226175277,0.40789200330655867,0.33867276694123133,0.3271428548061225,0.7230528505536745,0.03124999511718826,0.3086232956987648,0.7493324395796109,0.6000412464971244,0.7936408483094676,0.12684365594625877,0.5293096729838647,0.6687191176312456,0.8072576206199171,0.7498005839540008,0.48066410155834777,0.6468245637249538,0.571721520996902,0.4584310181092317,0.5538683980197513,0.7518092099080517,0.0,0.3534798502428585,0.0,0.0025252524933680244,0.0,0.01030927808481242,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9676410332628177,0.7241031691201032,0.5461168440286736,0.7422707533599061,0.006993006870751628,0.6163512602862815,0.5257627574310341,0.7104120917579472,0.5963500494376347,0.5973831147617442,0.5197246927652767,0.4752563509796863,0.41555915586528636,0.6962966999078539,0.45790715926641706,0.23766894815223988,0.2300194920564352,0.2569992802799765,0.5834446972852412,0.18181814876033658,0.20763358620127034,0.7218638976463987,0.5349521743088997,0.7293190767231191,0.05849582091231447,0.5916105869182956,0.6122172539436052,0.7770216622564241,0.5976226598411448,0.5576759238731676,0.5655215287338388,0.5131862970312658,0.3156494257181949,0.35081584877146943,0.6676185461278887,0.0,0.3095652155967234,0.0,0.003929273045881404,0.0,0.011173183733341691,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.973040642963632,0.7555756042353209,0.6168889909008868,0.8477947840521052,0.15460526061504506,0.5917856615861316,0.7304815695923433,0.7423368093904723,0.7351050142144181,0.670361572384656,0.7522308700356354,0.5514792877653677,0.4759080788833504,0.8111278048415761,0.544425715694166,0.35985258972501066,0.30446816803294513,0.5949535153057536,0.6989951132119525,0.0666666555555574,0.2415094326603265,0.7583816282772123,0.6141310344158597,0.8016930899633561,0.17886178619428475,0.5634603697014801,0.7144386316155499,0.7618993520607183,0.7245502282662306,0.6478566472152691,0.7372444090631676,0.6316518292466352,0.4579055432075862,0.6960907900624793,0.7122265552719802,0.0,0.29385307199473726,0.0,0.0017841213043343327,0.0,0.024242423752678308,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9739518346144984,0.7533230165006769,0.616720891187551,0.8718007114955727,0.12121211891643714,0.595447189428105,0.6706538689793522,0.8364164752493062,0.7450980383662813,0.6054506585273863,0.6495480676878634,0.7256493486860136,0.49854510023102133,0.771304205152111,0.7351566377571789,0.5483604283594367,0.4626807328539244,0.4583620064806469,0.7776780900971846,0.19230765532545088,0.3666881835591467,0.7504859549105002,0.6026125333045641,0.825495329252563,0.19144602461413393,0.5714920661870545,0.6761332689597008,0.7984633204473057,0.6741499556733327,0.6632380569051152,0.749431558095881,0.7105570698183122,0.5277955260323844,0.5775034253943524,0.7402290485909571,0.05263156509695655,0.2933771193575418,0.0,0.001326259938154775,0.0,0.22125812969071304,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.9708127052830027,0.7330233456232138,0.5514382367668165,0.8515041719226217,0.16073781079396823,0.7110767356112566,0.7429842919139066,0.7329218754376104,0.6067266060531395,0.6580320195556467,0.7158230356400498,0.5704718399681222,0.6243491182138629,0.7643300445623857,0.5932977167622169,0.3026805653338039,0.11661506647773444,0.36872427680062325,0.655872525780971,0.2769230343195332,0.34777303021492967,0.7383152393001501,0.5512458748067188,0.7348118839217819,0.09597523071245773,0.6169097138231078,0.6987272288048373,0.7670238299859337,0.591884904358902,0.5613997185858087,0.6736198513331778,0.5701543122200033,0.3845490595196602,0.46511627568956193,0.7119212869255425,0.0,0.3104106957477999,0.0,0.0012106537456982218,0.0,0.00909090867768597,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9757527188585642,0.7479750078155957,0.6143481879304782,0.8199110923085335,0.12925169848211399,0.5944366225960074,0.7357752942155148,0.7524153933435443,0.7913706908821748,0.5574882583427655,0.6510456997462322,0.563459981554325,0.6111908163290511,0.7933160929538101,0.6249242570946029,0.511239859765377,0.22761009288663983,0.487106013702679,0.6986907283274144,0.23076918639054106,0.3877940216923457,0.7493807760052258,0.6040656138121049,0.7992774690284266,0.10196078231449447,0.5419357499861894,0.708490608209491,0.7591947572116449,0.7409200959553026,0.5569526622069595,0.6173929725141237,0.659500473538307,0.5277947454127576,0.5836023203124446,0.7019834289882138,0.0,0.29672446822912996,0.0,0.0020661156811351685,0.0,0.0727902933658528,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9739761781470926,0.7609565773958995,0.6191797277957798,0.7813740282959506,0.23798076637042348,0.6518627062969692,0.7582919921823027,0.6919785513231985,0.7402747454868729,0.6161271998711649,0.6729238917100104,0.5138372552092637,0.5587044519333213,0.7938880803026379,0.5391038450675011,0.2518869953593121,0.2799054360288159,0.5270555128105726,0.6762911397471074,0.2499999553571508,0.3433283332584083,0.7473908850627473,0.5972877786280587,0.7307219024500391,0.2696929202978248,0.5792616922512669,0.7282920092659033,0.7805513099108217,0.7517670331470638,0.5934699756993821,0.6836958677236163,0.7178414966966931,0.5070733852628794,0.643250684275133,0.738209816539774,0.0,0.4003496468500905,0.0,0.004592422450144404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.9705989233611743,0.7660870642011461,0.5693745239643612,0.8129903838083327,0.2010309226538422,0.5888878188562565,0.7020312769993918,0.7363790181971918,0.6734488813445757,0.6457627113171502,0.6574889855772963,0.5718270545242814,0.5317414078866004,0.8094537126579238,0.5913613477802162,0.38686131292734477,0.11271081812953179,0.3395989953659211,0.718744328870673,0.20253161993270632,0.131205672983418,0.7495290111842576,0.5430359962608386,0.6946714866808112,0.11878009440160363,0.5494067080943906,0.6620986869128855,0.7297036854193546,0.6860741436714899,0.4433370243232401,0.5934547898221073,0.4547427822284103,0.42124609369372157,0.472826083744388,0.6403594766010136,0.0,0.024038461393999632,0.0,0.0031670625244096394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
