Vxm_2_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.974218273,0.821961017,0.704089212,0.865272331,0.283675287,0.735627409,0.755822521,0.810430331,0.771361912,0.731747166,0.750497016,0.81385525,0.690738568,0.809710634,0.737143949,0.687040984,0.688815058,0.644518267,0.803376108,0.158730134,0.297637793,0.799599807,0.659232208,0.800199302,0.403686632,0.699816505,0.793091899,0.884566502,0.755222949,0.635114856,0.728693527,0.773848385,0.720355949,0.59416058,0.82292497,0.571428497,0.29895366,0,0.001652893,0,0.384615378,0,0,0,0,0,0.01380528
p_1,0.972158714,0.816873631,0.70570342,0.811937857,0.139917694,0.787002759,0.758600523,0.808899566,0.756263651,0.710425383,0.639836567,0.531824609,0.825102115,0.802011875,0.741712971,0.661072971,0.422387405,0.46094946,0.746996165,0,0.213080167,0.807750272,0.690965614,0.748867473,0.096385541,0.782918996,0.81489426,0.813923986,0.670264842,0.626155394,0.530724069,0.720644026,0.622055136,0.4214876,0.673094815,0,0.220828103,0,0.00341006,0,0.257731952,0,0,0,0,0,0.015264602
p_2,0.975152066,0.832854516,0.718465941,0.86142864,0.458291453,0.798133869,0.828316442,0.820364913,0.812515963,0.728846996,0.730551815,0.765453003,0.791028834,0.860835846,0.790147359,0.764442098,0.662228137,0.621297033,0.841838172,0.393939334,0.385994873,0.811099066,0.684569622,0.829316345,0.576139665,0.795386611,0.851577702,0.885404245,0.784663051,0.654348076,0.719685037,0.798307474,0.777941899,0.591599637,0.831613149,0.230769142,0.386541468,0,0.002534854,0,0.458628831,0,0,0,0,0,0.012608265
p_3,0.969785867,0.820510069,0.683459946,0.825477707,0.355555552,0.724629407,0.638886041,0.809186882,0.742857142,0.676267508,0.6854356,0.750444996,0.666091829,0.800608922,0.728726095,0.643703498,0.676910296,0.618862037,0.803228221,0.149253709,0.381456951,0.791825291,0.645741604,0.859637169,0.247826084,0.768853997,0.765169316,0.846419224,0.74118124,0.611004653,0.696108437,0.743842364,0.684597816,0.464488633,0.829500794,0,0.445137803,0,0.005888126,0,0.067073169,0,0,0,0,0,0.018222627
p_4,0.974203636,0.82512386,0.702624157,0.877956866,0.360753217,0.754743077,0.819234146,0.776993403,0.823554376,0.748578763,0.733517748,0.767836917,0.807042503,0.871152971,0.745770514,0.704004816,0.681076669,0.57082452,0.790706495,0,0.266315094,0.810263832,0.678621651,0.853257323,0.509316766,0.749678099,0.822075105,0.838018589,0.810433662,0.714804896,0.798289057,0.793995858,0.732766205,0.556040753,0.811480022,0.039999992,0.453296701,0,0.007130125,0,0.40462427,0,0,0,0,0,0.011785453
p_5,0.973471592,0.823023286,0.705447029,0.895650094,0.25965665,0.744692095,0.777456557,0.84421114,0.8280508,0.760820045,0.713838747,0.826065161,0.6865799,0.839813436,0.768872697,0.736740596,0.575260803,0.584712367,0.824897263,0.258064475,0.315252072,0.806595097,0.672511281,0.889623811,0.398092963,0.742126911,0.806189146,0.87039167,0.825223742,0.801196373,0.797140742,0.825810184,0.786580643,0.681853883,0.828153369,0.314285669,0.380694141,0,0.00398142,0,0.546534643,0,0,0,0,0,0.013317726
p_6,0.970236934,0.808345783,0.65578873,0.903717967,0.375757573,0.72536611,0.802091242,0.773858676,0.740675402,0.682978274,0.620183485,0.803441783,0.802951231,0.806607043,0.772540582,0.682938977,0.546852472,0.538752358,0.790211663,0.338028121,0.412344055,0.783419609,0.603132376,0.851393689,0.257889989,0.742511507,0.819350309,0.822415846,0.754942943,0.680710058,0.735123041,0.749794764,0.646999998,0.482578393,0.774622039,0.203389796,0.392760179,0,0.003629764,0,0.093922649,0,0,0,0,0,0.015679205
p_7,0.976219494,0.825975633,0.722753576,0.834281951,0.29473684,0.788138777,0.83042315,0.835134982,0.81399295,0.74459203,0.715754242,0.762490389,0.807942237,0.84549613,0.751909184,0.708465759,0.665182544,0.455149498,0.762132352,0.173913018,0.481884055,0.804466158,0.683820958,0.868500332,0.261931185,0.76869544,0.835352119,0.855266217,0.823098724,0.741874168,0.746826346,0.793739634,0.702412867,0.592063487,0.786019262,0.185185151,0.455467867,0,0.008230453,0,0.422360242,0,0,0,0,0,0.010489182
p_8,0.974318216,0.833082697,0.714222594,0.814667892,0.502967355,0.792734023,0.83399514,0.787225362,0.805436512,0.768175859,0.752047653,0.726017439,0.727167405,0.854125832,0.789702597,0.709376818,0.673431038,0.626115161,0.808752025,0.417910385,0.400311523,0.804473904,0.679958601,0.76121294,0.519567023,0.805463043,0.850149786,0.886091062,0.797357421,0.727174499,0.746653918,0.823397761,0.788199274,0.647011947,0.834769715,0.097560952,0.354319177,0,0.002290951,0,0.469090901,0,0,0,0,0,0.012640236
p_9,0.971741636,0.838085439,0.681979567,0.87990711,0.27568922,0.790176442,0.817521574,0.845787958,0.82087447,0.785083068,0.737903224,0.662935856,0.774179429,0.880605412,0.745259088,0.795807976,0.408892762,0.634400591,0.808782135,0.463157846,0.250519029,0.82041982,0.658013872,0.828569484,0.364361697,0.774663183,0.809480254,0.857107767,0.764130168,0.702463053,0.749945306,0.689248554,0.733939736,0.391619658,0.780728376,0,0.187698833,0,0.001588562,0,0.426168216,0,0,0,0,0,0.014473034
p_10,0.972342799,0.836766765,0.677165216,0.797102992,0.171253821,0.804705106,0.831825237,0.810172986,0.804025719,0.716069434,0.765119548,0.748387094,0.836363635,0.873352927,0.720588234,0.649603898,0.690328302,0.559923293,0.799571657,0,0.469281043,0.820229874,0.647357096,0.826688364,0.338951308,0.828175917,0.85700159,0.870539103,0.817351597,0.7506496,0.749233597,0.778825995,0.655616941,0.649106297,0.801376872,0.430107481,0.432598037,0,0.003619909,0,0.363218382,0,0,0,0,0,0.016286069
p_11,0.969838344,0.829636006,0.715231788,0.88,0.535548169,0.762006088,0.793530587,0.836340773,0.817829456,0.665088533,0.70366748,0.754432287,0.699781922,0.829211943,0.785772857,0.728700201,0.648902819,0.528610349,0.789834209,0,0.440960311,0.798177756,0.652112425,0.862753965,0.630674843,0.725690599,0.808479005,0.828976252,0.784609937,0.66613767,0.799903914,0.812955154,0.801762113,0.635294113,0.822151647,0.210526279,0.462379149,0,0.005208333,0,0.466926061,0,0,0,0,0,0.014291672
p_12,0.971637991,0.822015999,0.67833829,0.862435626,0.325497285,0.798575511,0.810045116,0.842872979,0.810884018,0.699379452,0.754464284,0.732382547,0.773254586,0.872463285,0.778513612,0.774484898,0.66062528,0.51150442,0.787041273,0,0.434243173,0.799361953,0.625512297,0.827959762,0.281779658,0.804060821,0.840068857,0.835246082,0.799999999,0.731499672,0.757464399,0.794777234,0.784237002,0.593149536,0.795865168,0,0.39272727,0,0.00754717,0,0.565517228,0,0,0,0,0,0.013160342
p_13,0.977632946,0.839503012,0.703994994,0.849229074,0.304118265,0.778786597,0.818953738,0.822100789,0.841059602,0.763457456,0.729181244,0.671378088,0.684744043,0.853878467,0.767469747,0.731267604,0.695943117,0.604860481,0.792837925,0.421052576,0.335317457,0.828138967,0.680741973,0.773981235,0.626388885,0.759818209,0.826705886,0.875233799,0.828162869,0.689586776,0.747343308,0.813483145,0.76020408,0.432282,0.80679092,0.249999955,0.381789134,0,0.002070393,0,0.445434289,0,0,0,0,0,0.009486316
p_14,0.976255145,0.834747504,0.718521638,0.788519637,0.428446002,0.761694871,0.804133107,0.804429755,0.767493183,0.745070977,0.712962961,0.711458809,0.55065856,0.850681007,0.764520201,0.757843924,0.648093839,0.601599995,0.800546945,0.550724558,0.330312182,0.813895111,0.689297437,0.74836217,0.464135016,0.763812482,0.818881578,0.852194383,0.757737459,0.746714456,0.762164619,0.809141695,0.800420166,0.55903614,0.829572278,0.169491497,0.29882988,0,0.001552795,0,0.486381313,0,0,0,0,0,0.013833473
p_15,0.965686621,0.817093529,0.629849224,0.911127787,0.501822597,0.806818947,0.815173657,0.844229529,0.832580644,0.771532467,0.754376929,0.814255367,0.839903048,0.842749951,0.764414414,0.7411835,0.553336578,0.550537628,0.803646419,0.551020352,0.435492649,0.787852017,0.600745612,0.888323627,0.481269838,0.789730301,0.79904157,0.822462262,0.798581559,0.712073608,0.774813745,0.779375732,0.761486682,0.493799318,0.805163372,0.249999938,0.325958701,0,0.005839416,0,0.51599999,0,0,0,0,0,0.017361886
p_16,0.970925558,0.797676926,0.667475234,0.873989337,0.513067397,0.790977217,0.802944732,0.77395532,0.735152968,0.621260033,0.670616632,0.812100838,0.774712143,0.802844363,0.808066619,0.785878299,0.702872882,0.554379205,0.775820005,0.342105218,0.393292681,0.782178802,0.636952998,0.858434902,0.331330469,0.777780403,0.812166875,0.804295476,0.689058374,0.66817724,0.737973386,0.799879927,0.769627505,0.648288967,0.776627896,0.12499998,0.446535499,0,0.009661836,0,0.393220332,0,0,0,0,0,0.015253557
p_17,0.971582501,0.820885546,0.679875813,0.757399006,0.35585042,0.801505507,0.836162573,0.734029182,0.680597014,0.621544015,0.503977724,0.78517452,0.799018748,0.833126594,0.738537064,0.607600838,0.671849424,0.540425528,0.725553958,0,0.389588578,0.79992409,0.652218811,0.761969314,0.243062199,0.786644297,0.841103126,0.776280036,0.677503559,0.574906195,0.567964012,0.771229523,0.770966367,0.494101315,0.773663826,0.07407406,0.343042069,0,0.008928571,0,0.467924519,0,0,0,0,0,0.013976615
p_18,0.974267062,0.828775251,0.686477079,0.646840148,0.21908127,0.81710941,0.805641276,0.786506923,0.724860705,0.714071575,0.732004196,0.663766852,0.783471073,0.867405009,0.710268822,0.685865256,0.664791371,0.526083758,0.762445706,0.42666661,0.139682538,0.83400013,0.685757918,0.72502557,0.417047181,0.827993942,0.842306565,0.869000872,0.752722443,0.715425531,0.777027026,0.800998243,0.723625555,0.508108104,0.78569617,0.061538452,0.234042551,0,0,0,0.369668238,0,0,0,0,0,0.012413243
p_19,0.970392608,0.799239626,0.675931587,0.809105731,0.301810862,0.786003865,0.713242977,0.812390556,0.754506077,0.629409069,0.674033147,0.7510305,0.627432367,0.768601601,0.731702149,0.752595154,0.659784943,0.525336086,0.788131484,0,0.198884757,0.780607592,0.638969328,0.805309734,0.290366346,0.763029081,0.684945673,0.871581819,0.760243192,0.662115301,0.722689074,0.795576618,0.754341017,0.553974891,0.8180767,0,0.408967389,0,0.00608828,0,0.257839712,0,0,0,0,0,0.017093767
p_20,0.971189896,0.816132069,0.665277816,0.747470238,0.081218273,0.745625074,0.794223774,0.792502343,0.674058279,0.650251909,0.667891255,0.646017697,0.704677059,0.827582057,0.711237832,0.74604711,0.643265303,0.464406776,0.798056155,0.337078614,0.139784944,0.803381029,0.626631312,0.738261497,0.587507031,0.723981222,0.799569702,0.858313697,0.64957731,0.606322335,0.714837711,0.761383337,0.757493186,0.599863663,0.795264623,0.123456775,0.349922237,0,0,0,0.253229968,0,0,0,0,0,0.01326323
p_21,0.974813858,0.830144015,0.687617217,0.883809026,0.492089468,0.791147508,0.803305306,0.816703109,0.829673215,0.754292582,0.762984335,0.71960486,0.746475817,0.858707629,0.746582544,0.759115703,0.713828934,0.640423916,0.79880513,0.285714235,0.463963962,0.808058377,0.656703884,0.863776374,0.506873876,0.795786437,0.831723152,0.832626067,0.782235901,0.710418375,0.780657639,0.80698939,0.750071243,0.514150939,0.826131864,0.309859111,0.451991612,0,0.006669843,0,0.573298422,0,0,0,0,0,0.010210746
p_22,0.969043207,0.791027668,0.690228211,0.693273347,0.037735849,0.766597039,0.78540824,0.719239812,0.684893536,0.553035555,0.504160107,0.554726366,0.682739971,0.766620574,0.68260057,0.578280785,0.550221312,0.472607258,0.712089738,0,0.088426527,0.795413573,0.674700565,0.618697192,0.107262569,0.764443823,0.718880228,0.857595421,0.64980144,0.639553579,0.694632205,0.721698113,0.599606491,0.20721412,0.729249492,0.249999979,0.239226031,0,0,0,0.322147646,0,0,0,0,0,0.015731957
p_23,0.973357208,0.823716382,0.687501004,0.85195277,0.359022553,0.793286713,0.795143761,0.774656115,0.844241623,0.791404297,0.752703336,0.697674415,0.758037223,0.842941048,0.771914426,0.753744755,0.608812947,0.587423308,0.812030074,0.421052576,0.289549374,0.803596816,0.644159468,0.85764017,0.559940428,0.71540979,0.788636472,0.880060619,0.832030779,0.730723605,0.785545277,0.80949445,0.782849237,0.557324836,0.831625182,0.387596869,0.454545451,0,0.003587444,0,0.411867358,0,0,0,0,0,0.013275728
p_24,0.967677047,0.817227049,0.632847497,0.87424871,0.430663218,0.763986926,0.779559949,0.805383158,0.793431052,0.758674616,0.687089714,0.691534218,0.741107996,0.835076664,0.772536687,0.72250712,0.667618502,0.557142851,0.747311297,0.206896516,0.457863901,0.794691647,0.609999513,0.861272981,0.36398838,0.786673045,0.811358718,0.811989451,0.780650541,0.740570175,0.743862898,0.781602254,0.779242172,0.646833007,0.801400184,0.196078393,0.490965181,0,0,0,0.354661785,0,0,0,0,0,0.015972464
p_25,0.970265455,0.817393555,0.652734443,0.881255994,0.311787069,0.786599311,0.797213049,0.804274142,0.804001159,0.688469801,0.734478202,0.779985803,0.796368886,0.851419237,0.791453615,0.736422519,0.700395949,0.529466786,0.811708415,0.146341428,0.334360552,0.800916089,0.631609172,0.857712059,0.458027706,0.790084213,0.787045575,0.845313183,0.784920127,0.656257623,0.736642026,0.79054054,0.82172557,0.651162785,0.786986109,0,0.38448374,0,0.010914052,0,0.424999992,0,0,0,0,0,0.012773205
