affine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.953814726,0.633593025,0.521126365,0.316649061,0.016336056,0.6303902,0.664162785,0.504456685,0.280332554,0.371262674,0.200790146,0.109001837,0.060823755,0.568188343,0.458284158,0.293206197,0.145871899,0.476119399,0.491236855,0,0.066066066,0.585480278,0.393027618,0.351106586,0.012332991,0.530661908,0.653259687,0.677272478,0.301776717,0.514370837,0.607518093,0.516579406,0.283592167,0.188172042,0.581387478,0.272727231,0.079461279,0,0,0,0.168807336,0,0,0,0,0,0
p_1,0.955228259,0.644037249,0.501554643,0.350941275,0,0.626890756,0.691248033,0.625100644,0.407858918,0.428704422,0.414914716,0.000825083,0.241214057,0.646298148,0.640288452,0.624878047,0.142312579,0.443181815,0.451810216,0,0.074652777,0.611770178,0.449268627,0.193361859,0,0.593175283,0.678312728,0.512405609,0.142872771,0.344362553,0.268255188,0.511826008,0.454229431,0,0.412383177,0,0.001515152,0,0.001699235,0,0,0,0,0,0,0,0
p_2,0.953569725,0.632703245,0.506646437,0.353035144,0.060416666,0.609467288,0.644754782,0.534808566,0.484507746,0.496075069,0.369186046,0.048648648,0.144815601,0.604554712,0.356233582,0.278131634,0.118305355,0.603248255,0.522201542,0,0.088060965,0.580976249,0.407466132,0.3328125,0.028011204,0.509752547,0.614197489,0.624950042,0.187057387,0.482746225,0.59241593,0.399597585,0.306182531,0.07821229,0.544101633,0,0.028328612,0,0.002503129,0,0.109533466,0,0,0,0,0,0
p_3,0.951941728,0.620655395,0.498433163,0.232699551,0.03125,0.581420073,0.549423036,0.483255311,0.398227782,0.363395005,0.242198801,0.10760795,0.069096072,0.549614797,0.402836618,0.205366357,0.071779373,0.384775084,0.428431532,0,0.00672495,0.57983881,0.404006477,0.456990145,0.00921659,0.575443749,0.630865069,0.609752038,0.475864597,0.570021881,0.554316397,0.49251132,0.273330175,0.005072923,0.508607068,0,0.003284072,0,0,0,0.064171121,0,0,0,0,0,0
p_4,0.946493459,0.588819029,0.47013092,0.434327791,0.080610021,0.506378391,0.581164003,0.409664735,0.390443535,0.269056032,0.126213592,0.063357972,0.071107638,0.511249661,0.456986416,0.236583309,0.12345679,0.322535209,0.394880174,0,0.018055555,0.582772819,0.396500776,0.49661383,0.069026548,0.48672189,0.614922391,0.601300166,0.400396869,0.562342251,0.494218997,0.531645569,0.274001037,0.004175365,0.406826568,0,0.003232759,0,0.00177305,0,0.04074074,0,0,0,0,0,0
p_5,0.951763516,0.60371528,0.479058379,0.482238427,0.035595105,0.607001746,0.624507944,0.615923009,0.245417396,0.442837465,0.353958143,0.275165849,0.061496099,0.634895024,0.628742514,0.571264035,0.306220095,0.59276366,0.578670845,0,0.202988791,0.596437693,0.42646829,0.487466884,0.132608694,0.491492311,0.590703015,0.738343141,0.636311765,0.685151593,0.687635052,0.566391811,0.666162379,0.235478805,0.612477099,0.393442558,0.007799443,0,0,0,0.304431593,0,0,0,0,0,0
p_6,0.945891969,0.587780666,0.458318679,0.376744872,0.003913894,0.616912161,0.671496141,0.401036538,0.164788732,0.232836905,0.11292517,0.116002379,0.202075582,0.621377044,0.404952522,0.21483887,0.040983606,0.413672214,0.454330176,0,0.012413793,0.564221939,0.368710665,0.495141171,0.002166847,0.508514712,0.625182505,0.602916433,0.654311396,0.598012147,0.576599869,0.484223624,0.230603962,0,0.520270849,0,0.013013013,0,0,0,0.089330023,0,0,0,0,0,0
p_7,0.949095104,0.60888733,0.479991789,0.307034101,0.012024048,0.603010235,0.645957281,0.489096737,0.431222984,0.511826159,0.265581395,0.09009009,0.173844949,0.631745115,0.493496557,0.347443649,0.051710421,0.269065979,0.363059634,0,0.019863439,0.572221367,0.388910707,0.466045805,0,0.518710954,0.623894337,0.597291518,0.527090623,0.514535844,0.489843027,0.498492657,0.273863068,0.003134796,0.400381133,0,0.011641443,0,0,0,0.03642384,0,0,0,0,0,0
p_8,0.952488992,0.62169386,0.491477822,0.291218371,0.043010752,0.625613137,0.708617525,0.453893336,0.464864864,0.376218494,0.175238095,0.088255733,0.110196327,0.557477979,0.30023192,0.123833757,0.110032362,0.33935585,0.421319353,0,0.022692889,0.589569731,0.41865114,0.333878123,0.019113814,0.516312791,0.654605663,0.649028657,0.250586927,0.518787021,0.590795737,0.499950597,0.331517509,0.028614458,0.530335861,0,0.114987079,0,0,0,0.028985507,0,0,0,0,0,0
p_9,0.952855994,0.633375661,0.483905471,0.384754651,0.12121212,0.543479548,0.637840047,0.432387032,0.327295132,0.349700399,0.238410596,0.017749092,0.060396894,0.576753419,0.571798188,0.403449337,0.0243309,0.391401035,0.415338914,0,0.017675051,0.604787128,0.415856252,0.367876569,0.024365482,0.511490795,0.641481234,0.505001724,0.221151586,0.439036973,0.419899188,0.388363636,0.233497281,0,0.377995848,0,0,0,0,0,0.066914497,0,0,0,0,0,0
