SyN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.974120951,0.761477746,0.628610679,0.840514346,0.062165058,0.603983783,0.674165207,0.843212425,0.758399589,0.62681388,0.669845052,0.667789945,0.640462426,0.777502784,0.607610729,0.403039198,0.635824434,0.048899755,0.668879209,0.028571424,0.270361039,0.758692099,0.618748312,0.800758713,0.199033815,0.624566929,0.713423587,0.863908517,0.710773356,0.642373016,0.60792038,0.606952257,0.421773141,0.090592334,0.694169889,0,0.252282156,0,0.009876543,0,0,0,0,0,0,0,2.91E-07
p_1,0.972313637,0.772146573,0.646992769,0.812592294,0.020057306,0.660103072,0.673419311,0.870350031,0.742166945,0.551083591,0.516239315,0.532544376,0.673629241,0.775428706,0.523557612,0.262639972,0.602933185,0.041617122,0.600211824,0,0.291828791,0.761277369,0.636914353,0.803574897,0,0.644844278,0.728024832,0.87489206,0.686033264,0.518036886,0.497445628,0.461264734,0.20742358,0.060279871,0.612391839,0,0.294695478,0,0.006779661,0,0,0,0,0,0,0,0
p_2,0.977128064,0.781095712,0.661209683,0.857585619,0.20792079,0.627285904,0.755761357,0.865268276,0.825891133,0.649973455,0.672205078,0.671971703,0.738742476,0.833815641,0.600196142,0.412452762,0.61881668,0.300645159,0.751237426,0,0.38149197,0.769994603,0.646747799,0.843886781,0.310606058,0.610101171,0.761607933,0.885932233,0.782447792,0.656423083,0.684983419,0.585475418,0.407950956,0.364141763,0.73554833,0,0.344463969,0,0.012484394,0,0,0,0,0,0,0,0
p_3,0.967281751,0.745613036,0.595130393,0.813690549,0.001930502,0.679511077,0.549454021,0.848184985,0.7539823,0.613631477,0.60470751,0.650073204,0.564827397,0.731040895,0.380987912,0.244433283,0.578131914,0.15802469,0.619440313,0,0.301196338,0.737556527,0.58254186,0.836333804,0.028340081,0.663693807,0.633478028,0.858403704,0.721191405,0.591437666,0.531064375,0.35118392,0.163258629,0.164823008,0.580807024,0,0.343767159,0,0.007804878,0,0,0,0,0,0,0,0
p_4,0.971977886,0.757866284,0.610215912,0.850113796,0.147455866,0.582916875,0.736677412,0.838184534,0.778339349,0.640998959,0.668047447,0.618022617,0.706692488,0.836084215,0.537700197,0.356752683,0.602893888,0.219806762,0.674153773,0,0.331422016,0.764898941,0.609487028,0.83065769,0.249116606,0.569803242,0.718455241,0.852822263,0.75721489,0.672106231,0.658483467,0.556767676,0.329543526,0.246670525,0.679702343,0,0.493670884,0,0.003549246,0,0,0,0,0,0,0,0
p_5,0.973231574,0.756589166,0.61835151,0.879272517,0.075609755,0.608930988,0.728771208,0.869811218,0.794615626,0.592027844,0.67142857,0.666140072,0.59776055,0.801443899,0.655590717,0.378203647,0.625050018,0.284913066,0.712340212,0,0.401639342,0.761344654,0.611428013,0.870912859,0.054522924,0.574562639,0.727578448,0.857176046,0.770011159,0.639183231,0.712340798,0.59696243,0.294277929,0.263879815,0.663178327,0,0.402366862,0,0.01055409,0,0,0,0,0,0,0,0
p_6,0.971049289,0.756008193,0.590829457,0.863248095,0.233009706,0.71468144,0.744867396,0.820789082,0.675427664,0.480477137,0.5819422,0.632331901,0.701722979,0.754855402,0.553146323,0.155026241,0.568544099,0.03515625,0.557132085,0,0.422901754,0.743464158,0.573068182,0.841155607,0.121681415,0.671660213,0.726305399,0.844372342,0.615858352,0.523236919,0.598764275,0.555266917,0.270495462,0.067365269,0.619266694,0,0.440708767,0,0.002414001,0,0,0,0,0,0,0,0
p_7,0.975108948,0.76490254,0.630404116,0.841570295,0.247933882,0.643647192,0.770157811,0.888603168,0.821992237,0.600049468,0.661956753,0.662445585,0.706135628,0.830397025,0.692485754,0.469235969,0.640221399,0.301639342,0.748415081,0.06557376,0.425889965,0.766113714,0.627517262,0.84899692,0.173602852,0.586959385,0.749004502,0.877173913,0.775065288,0.659817166,0.652771808,0.637360724,0.4101547,0.371612901,0.730872123,0,0.454810493,0,0.006166495,0,0,0,0,0,0,0,0
p_8,0.973483176,0.772056827,0.634170213,0.833108945,0.278457194,0.665447006,0.774882415,0.835970994,0.836732108,0.704405827,0.747330959,0.652877019,0.675753227,0.843486213,0.690929987,0.436197916,0.596590907,0.487740222,0.762120738,0.071428559,0.411428568,0.762893598,0.62227382,0.785041166,0.373865695,0.65270788,0.787047557,0.87383909,0.742865255,0.66249239,0.675933969,0.648817859,0.386742424,0.464043416,0.748076922,0,0.315447152,0,0.006841505,0,0,0,0,0,0,0,3.92E-06
p_9,0.971969113,0.786815066,0.616689865,0.880504226,0.047556142,0.672101911,0.785742006,0.875029062,0.828148317,0.683023468,0.708237985,0.65217391,0.699637492,0.852390628,0.478913373,0.349341438,0.634294382,0.275058273,0.701317365,0.129032244,0.373983737,0.767391605,0.588067565,0.871343062,0.102040815,0.614118223,0.74197213,0.86893754,0.78805646,0.669275028,0.731223788,0.441743157,0.295254833,0.305655835,0.668842021,0,0.450841931,0,0.006314128,0,0,0,0,0,0,0,0
p_10,0.974128666,0.793361855,0.617485344,0.83714353,0.289813482,0.652493901,0.750630287,0.864336993,0.80644713,0.614593157,0.691173326,0.651799684,0.697155604,0.848695426,0.603126268,0.491937314,0.626262623,0.391551581,0.723417192,0,0.385964909,0.803797993,0.631172124,0.828785483,0.258852256,0.650800503,0.763185152,0.897641454,0.758677913,0.668994524,0.735993859,0.568135718,0.450341167,0.35527359,0.711280142,0,0.401294496,0,0.01080108,0,0,0,0,0,0,0,0
p_11,0.968118463,0.743384689,0.604455813,0.869964762,0.268088345,0.599226092,0.720244917,0.88310662,0.779641276,0.545178896,0.63848216,0.613160895,0.595260078,0.803523687,0.584207181,0.306066678,0.638755978,0.072202166,0.678833361,0,0.423194301,0.751550178,0.590365356,0.859879437,0.235999998,0.569463869,0.736087045,0.885890747,0.718442153,0.641523926,0.676659527,0.581169079,0.308354011,0.27763496,0.694492552,0,0.50086505,0,0.007807417,0,0,0,0,0,0,0,2.91E-07
p_12,0.972404288,0.756377653,0.601816762,0.863840641,0.126984126,0.669479071,0.728144496,0.89540937,0.804256313,0.61712999,0.708168269,0.636323848,0.661409309,0.843946295,0.532138242,0.300801877,0.687769781,0.201607011,0.687604562,0,0.456521736,0.765348103,0.597144659,0.844039829,0.043181818,0.669568174,0.75106706,0.870736454,0.751682294,0.652215053,0.75574365,0.484916873,0.315310394,0.222077072,0.712192888,0,0.318741448,0,0.006166495,0,0,0,0,0,0,0,0
p_13,0.978909222,0.7997722,0.665712033,0.848689771,0.231065466,0.658564901,0.765808352,0.872157655,0.813355752,0.716362406,0.746962713,0.572592967,0.683959042,0.836339926,0.62572656,0.441568475,0.634834013,0.269177125,0.695468277,0,0.275938187,0.80668694,0.665302419,0.819368075,0.411718128,0.619510768,0.747758182,0.887214082,0.792086162,0.654237577,0.717707266,0.624641833,0.487997133,0.290858724,0.722980392,0,0.317604353,0,0.012358393,0,0,0,0,0,0,0,0
p_14,0.974685852,0.770998072,0.634105298,0.815242831,0.233766232,0.632557591,0.725745183,0.882395909,0.781941191,0.639219224,0.744308942,0.631907306,0.550591325,0.820349284,0.569459671,0.415560806,0.699544762,0.319254656,0.679806565,0,0.21836228,0.761082996,0.621334494,0.789514115,0.103781881,0.598232678,0.727242427,0.866122273,0.746874579,0.676607947,0.70475803,0.495708789,0.347573479,0.274638632,0.660817397,0,0.176470586,0,0.010852713,0,0,0,0,0,0,0,0
p_15,0.960616604,0.748607251,0.522124224,0.881261065,0.298076921,0.611391735,0.695417619,0.881011169,0.76351158,0.596704871,0.676024954,0.720167845,0.704798127,0.804490113,0.623870579,0.390167597,0.622148021,0.13240418,0.75721066,0.044943815,0.462819087,0.725136954,0.498589962,0.860316643,0.210884352,0.54994031,0.674507357,0.867465414,0.701224792,0.66759679,0.717596565,0.48045283,0.256401443,0.13651877,0.728708303,0,0.39434276,0,0.004347826,0,0,0,0,0,0,0,1.89E-06
p_16,0.968352624,0.73662332,0.593694332,0.845210147,0.1216545,0.557981613,0.687906609,0.852188623,0.737758432,0.556303116,0.628916986,0.647908743,0.677190211,0.734916447,0.56370063,0.300874161,0.633062791,0.031702274,0.616606797,0,0.399586988,0.742712,0.594767123,0.827800244,0.104950494,0.570885595,0.656169533,0.853345502,0.598761958,0.607188237,0.593142606,0.543819188,0.215311004,0.038834951,0.668916845,0,0.420210103,0,0.0064,0,0,0,0,0,0,0,0
p_17,0.970079452,0.766797246,0.612836954,0.76443156,0.326996195,0.566879184,0.716748651,0.823761613,0.740882458,0.657498452,0.571045575,0.663802361,0.673644545,0.783462977,0.621796334,0.378911138,0.600506754,0.274331245,0.615811052,0,0.368281935,0.765982779,0.614829518,0.770075595,0.162679424,0.552701876,0.707177754,0.810562571,0.663284567,0.649016437,0.512878664,0.532504643,0.254101931,0.242024201,0.584450078,0,0.387869111,0,0.011135857,0,0,0,0,0,0,0,1.06E-05
p_18,0.973357696,0.77887804,0.62484287,0.701951016,0.183387269,0.659505224,0.771574892,0.870791749,0.692571741,0.72008082,0.763880882,0.655677653,0.697837836,0.849830216,0.607979113,0.511014948,0.697928022,0.46467391,0.759353553,0.106666652,0.160183065,0.779221577,0.618270298,0.759003309,0.284452294,0.689824907,0.775405208,0.898824965,0.680228692,0.713696004,0.728955329,0.58573439,0.444630872,0.498980282,0.745829965,0,0.221135027,0,0.008264463,0,0,0,0,0,0,0,2.47E-06
p_19,0.969048955,0.740703089,0.601599553,0.810941043,0.048979591,0.715613411,0.627843087,0.849333407,0.689068933,0.535186516,0.526586281,0.644040401,0.502923975,0.722242338,0.49153814,0.228890728,0.673713232,0.016620498,0.592632469,0,0.27848101,0.737035827,0.604299114,0.795511963,0.083432657,0.687015959,0.556424208,0.850762141,0.714267881,0.526799626,0.491013383,0.54624844,0.286019666,0.027100271,0.657864895,0,0.314589663,0,0,0,0,0,0,0,0,0,0
p_20,0.973208677,0.752827329,0.599969266,0.765674125,0,0.563303831,0.677695641,0.831501672,0.639079851,0.564590994,0.621721778,0.572892405,0.598870055,0.783627973,0.412637863,0.147295742,0.556594946,0.149341141,0.655564531,0,0.210095495,0.758900197,0.591058494,0.759705355,0.315225705,0.556878355,0.701459138,0.837186228,0.531476024,0.591007791,0.583742671,0.50587199,0.291038154,0.177914109,0.650732365,0,0.324746289,0,0.011241218,0,0,0,0,0,0,0,0
