lddmm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior
p_0,0.9723407571174078,0.7430937859869672,0.5872136528465373,0.8147413178290851,0.04162537124256322,0.607383001511669,0.6464723031598781,0.8032400282973239,0.7129393775943207,0.6843610929081683,0.7324165015080226,0.7272184023686333,0.6270213859493443,0.8231707315738241,0.6498215286024596,0.4952992421570758,0.5628272226752739,0.14175438497014467,0.7751219505893318,0.10958902608369506,0.22743682105201427,0.7453070215275758,0.5716686324403025,0.777331995431056,0.12161051666712805,0.624931666174382,0.7085813786828357,0.858590307897252,0.73983500185646,0.6735257208920739,0.7060702861300514,0.6460040978090812,0.567819664656394,0.2938053080011486,0.8002908379380427,0.17647056228374083,0.232558137531799,0.0,0.006595218412240574,0.0,0.06896551507945094,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9705018055805371,0.7497537926591232,0.595055110559524,0.7934368951316758,0.009070294681742691,0.6418231378965134,0.6532069157452546,0.8245313388250863,0.6824887739801299,0.6326764294385123,0.6390708745695788,0.6273352968174273,0.6921850065945275,0.808187953338172,0.5232876707208536,0.3268181810754132,0.6116875990623288,0.14533333236444446,0.7170539378264794,0.0,0.2154194986913889,0.7467876099295012,0.5835007785157226,0.7579193058036685,0.11929170438684339,0.6250407395534863,0.707989771211061,0.8823688037957128,0.6958615147359148,0.49628180006765704,0.5844562398469358,0.6274067644168199,0.4285714277066759,0.258467950711475,0.7941106619218629,0.0,0.21000981148174866,0.0,0.0,0.0,0.04123711127643756,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.9752628347761986,0.7576074301713598,0.6155651661548853,0.8423856737001699,0.1334569033043846,0.6833107649197463,0.7838125220980192,0.813185495467075,0.7819371717513912,0.7243394081064451,0.776412774678551,0.7336683386362297,0.7320007748263133,0.8657696675543578,0.6900242319365668,0.5943738643503316,0.6174298344784351,0.41185410021387464,0.8267282736567192,0.12048191319495022,0.33092036886328474,0.7407426271267483,0.5905340926020771,0.8139873077644187,0.3729071508911176,0.645526421636491,0.7832375802106633,0.8698302648399293,0.7596837934655023,0.6684876621428684,0.7601314331651009,0.640408731406959,0.678401323921306,0.6346456642941286,0.8352247727322735,0.0,0.3126142567402719,0.0,0.0025188916559333546,0.0,0.27301586434870273,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.966734142447798,0.7342220450033536,0.5644683548029885,0.7921186883292566,0.12729025913895603,0.7356662557162322,0.6006817528029432,0.8107702205477525,0.6769715175655195,0.6891148770703466,0.7215212356113004,0.726467328436813,0.5703475985567568,0.7960173211765038,0.6093569497407038,0.41884816649501827,0.5588639461343841,0.3883636335391736,0.7576583795046845,0.03030302571166277,0.2671999978624,0.7333781509570204,0.5579522093821335,0.829970405869442,0.05653021387397453,0.6666666665544558,0.6574753849940902,0.8548440789841061,0.7062507239867207,0.595567866623568,0.6399086300539915,0.6540234879042858,0.351831541233096,0.4617169346768159,0.7619362293392233,0.0,0.3784445782091575,0.0,0.005899704956738398,0.0,0.06153845680473409,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.9730229294361687,0.7420837605777572,0.6017889841772468,0.8499756187760806,0.24248704411930525,0.6895845522016811,0.8035191438900501,0.798696177488725,0.821279138452601,0.7675928716644572,0.8331082368645414,0.7317979170438412,0.7300469469287032,0.8820694030769903,0.7452708504457536,0.666666664934615,0.5895582305640231,0.5520483508928922,0.8034140961789519,0.3478260365469512,0.2699545731995161,0.7486245134472604,0.599518198004443,0.8412244155619546,0.5028386009502142,0.6742089185890754,0.7958963984542213,0.8696341716696796,0.826562828008248,0.7657251358764735,0.7912391460314935,0.7636432414984932,0.710629465735233,0.656063613942587,0.8286283018199165,0.17021272974197238,0.4848484822708746,0.0,0.0,0.0,0.5352112550419893,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9738983489425194,0.739195777380759,0.6017520205252129,0.8830042230102144,0.13897280826814895,0.7000284184514355,0.7803366028282916,0.8587068075842703,0.7981999992018001,0.7459203649266316,0.8005354734481583,0.7310874682887486,0.6825955717238542,0.8579870950455311,0.735852712465259,0.6567749141747622,0.6715781284545245,0.5896527243823336,0.826606453263142,0.2666666222222296,0.35403726488175613,0.7481532851502479,0.5992242009929979,0.87089499185304,0.21902017080672267,0.6775953359689801,0.7942443333207085,0.8739633215313846,0.7911052475349993,0.753555684310442,0.8152478933226196,0.7316707287346046,0.679890559325375,0.6154949740638811,0.8199860368804368,0.37931027942926215,0.4505494480739041,0.0,0.0,0.0,0.5586034773415592,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.971051490412511,0.732369090485411,0.5657505326710736,0.8651362203231476,0.18921161668704053,0.7785896157093269,0.8000302159842855,0.7948357817659704,0.6487947241932821,0.6398657283888541,0.6773869333117851,0.7017879926507408,0.7636146005114411,0.8058723883510732,0.6427214325135968,0.3660550450319839,0.6020100472260802,0.25658453477838117,0.7031913925475171,0.04444443950617338,0.3953488345051379,0.7373608438476418,0.5588096784853408,0.8424230088039537,0.1903143569217132,0.6960395479979625,0.7785207492668995,0.8688120226760673,0.6943005174152327,0.6602778260416056,0.7564128042226829,0.7183300931984027,0.515305087137026,0.4665090585775488,0.7839761040288359,0.0,0.4584980214501086,0.0,0.0,0.0,0.11249999296875043,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9747669893976615,0.746453667060758,0.6089242678646346,0.836794080968289,0.2448614812791646,0.687833537163321,0.7939216208453942,0.8537627336763267,0.837057362031808,0.7447385198144623,0.7631578931429451,0.7501963835420409,0.7288888874163861,0.8595477090849611,0.7249046416179137,0.6362477679422692,0.6414397755355801,0.5836065525933889,0.8045893272586148,0.23529408304498778,0.3555555530864198,0.7541354061595859,0.6108386655731629,0.8596711991639249,0.24584103284804962,0.6720960959346315,0.792124743550812,0.8792228342087961,0.7897069944970192,0.7090153915554888,0.7689720395859323,0.7542610968774479,0.699334809979302,0.6362297449467619,0.8269658566331697,0.2916666059027904,0.46662507506784107,0.0,0.0020703933533085576,0.0,0.5670329545707044,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9728910988035979,0.7530462329992088,0.6093453136317182,0.820920802329764,0.3517587910237957,0.7296195940497067,0.8017715816255728,0.7957308682424323,0.7911657072776194,0.7539434831261548,0.8049042787590788,0.7192336008871274,0.6951918820132513,0.8733802891063354,0.7101556701152646,0.596947709289598,0.5612848666048822,0.6477093155789154,0.8107382543534075,0.36111106095679707,0.34712229903666997,0.7419197407248322,0.588965438697308,0.7445429734442847,0.43149129120748453,0.6967716202395755,0.8110332092903856,0.8596462580355667,0.7549611723397165,0.7244177834117698,0.7809757077342812,0.7345909593438635,0.6859353648476665,0.6775147878882043,0.8270142173095683,0.0,0.33360722815441884,0.0,0.0,0.0,0.5096153723650151,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.9703212969209085,0.7665240691243148,0.5759581526457692,0.87431280698266,0.1379310327841006,0.7007410582837131,0.793953145492033,0.8049330008271476,0.815501072403682,0.7657563019464614,0.796863043617324,0.6745133514055529,0.699225168585994,0.8840321621635759,0.6636728897853074,0.5761689273720394,0.3806734974100854,0.5229885019900251,0.8079310656833771,0.38297868266184226,0.3428193226815399,0.7410064998084314,0.5439927995825814,0.8419026667439158,0.27938670971561574,0.6472369240651681,0.7485179242089808,0.8501121203528195,0.7742618258289112,0.6289467431914642,0.7422198223741324,0.6395170360794873,0.5852631566626039,0.5724331886608074,0.8229501980468186,0.04347825141777143,0.3512252021515449,0.0,0.0031670625244096394,0.0,0.14619882613453725,0.0,0.0,0.0,0.0,0.0,0.0
