nnFormer_ncc_1_diffusion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9761355315431111,0.8351173397068268,0.726434884074652,0.8712999823129219,0.333333329794763,0.7400879049121887,0.7681562466285847,0.8421869338218657,0.7988571417159184,0.6253124282829897,0.698004199847678,0.8378522040461132,0.7243191573714306,0.8402004085898542,0.814305114699588,0.7863733125470233,0.7212490452351521,0.5661835694088544,0.8321806873569284,0.26229503896802636,0.22319093092248535,0.8241527350218144,0.7070485285088416,0.8311614724991775,0.4599999954000001,0.7107753044469912,0.8015345047485213,0.8811629444609977,0.7800559167753093,0.5821002379688541,0.6678927990859359,0.8162806767920147,0.8129114444406214,0.6136534087497869,0.8351668000758726,0.3703703246456389,0.22764227436637513,0.0,0.0,0.0,0.32941176118276194,0.0,0.0,0.0,0.0,0.0,0.0151580810546875
p_1,0.9734953203318747,0.8246814524133771,0.7204849874968189,0.8222864895105433,0.197802194179447,0.7716019246410484,0.7606237393070857,0.8370048449787677,0.7800177497400561,0.5950761561499415,0.5877533406904845,0.6108108080594107,0.8108204292386182,0.8143898939959128,0.7803921561340876,0.7085427117875811,0.49185184942295385,0.47238742164496667,0.7855917660500928,0.0,0.20446533249746965,0.8271392805651409,0.7284639763321776,0.7862046413973482,0.15566835608006166,0.7684365081304323,0.8167898465896438,0.8399081394029558,0.7127698491123675,0.5054413537833118,0.5272543049093125,0.7648776918904001,0.6479736082752743,0.44573925385477603,0.7300161051707925,0.0,0.23016759519365815,0.0,0.0,0.0,0.09147608957430167,0.0,0.0,0.0,0.0,0.0,0.016236659458705355
p_2,0.9776533069085492,0.8466250916363871,0.7419870088278533,0.8796484426217226,0.569780846946011,0.7948366905661096,0.8443073745792953,0.8723782433508839,0.8408111522930151,0.6522245508359835,0.6376456142316198,0.8164146832984246,0.8313993159873733,0.8846237968641324,0.8355829516042269,0.8158863734458538,0.7284317861095121,0.625327505455655,0.860217100685377,0.4687499267578239,0.3360824707620364,0.8378149953116505,0.736233084773043,0.8602435145181025,0.5771929773930441,0.8172541479443552,0.8719683123445072,0.884318455437685,0.8160964729111332,0.6055738096561107,0.6591715956829243,0.8296074437591107,0.8326996177930143,0.6818580133053637,0.8534297431567034,0.0,0.34676663217650766,0.0,0.0,0.0,0.22413792888756773,0.0,0.0,0.0,0.0,0.0,0.013922991071428572
p_3,0.971402234030092,0.8370000707377243,0.7075993103893415,0.840275861605365,0.40733197141209804,0.7212998938805036,0.6378192259887029,0.8491578551356688,0.7925189935819419,0.6436921819216304,0.6484268111070981,0.7862595392565594,0.7215419484772292,0.8144966441666803,0.7942398755250412,0.7911392384199915,0.7299107115702725,0.6177669061306691,0.8328827299485614,0.1355931973570852,0.3211567707674523,0.8225410584998541,0.6985333082010721,0.8825759116027814,0.31738622733504984,0.7576141837646428,0.766322001166881,0.8448769997343701,0.7846379506805735,0.5623743412519154,0.6557749020744841,0.7937522179679161,0.7576054937252072,0.6031745991853532,0.8347796487708188,0.0,0.41406692901833847,0.0,0.003937007835265671,0.0,0.09859154756000797,0.0,0.0,0.0,0.0,0.0,0.019355701264880953
p_4,0.9768856549296157,0.8437982202061605,0.7298143585440944,0.8938243227506184,0.48180676936252487,0.780807311262511,0.8453484648711285,0.8572513283125874,0.8442971088321796,0.7090155842286293,0.6986564282661795,0.8103077995336155,0.8172847893547384,0.8940243595931663,0.8402993657567077,0.8084592120590356,0.729483279903179,0.6333104822939651,0.8297565192669074,0.42424235996327875,0.3793814406915365,0.8380120933166395,0.7274681330328084,0.8776851660643474,0.6194690210666458,0.7896374951819731,0.8464685750338772,0.8578267641628664,0.8494771301896302,0.7145292282016151,0.7558416767862621,0.8420193770096692,0.8170798875562537,0.6539973744823239,0.8583485174466784,0.24999993750001562,0.528124997249349,0.0,0.007136485217337331,0.0,0.3788546213782531,0.0,0.0,0.0,0.0,0.0,0.011875988188244048
p_5,0.9758809655573237,0.8377435075721648,0.730912856111976,0.899674146051428,0.30217669267379393,0.7522705129467111,0.806863252221632,0.8639227925836374,0.8406123358390226,0.7523633166822304,0.6431578930443212,0.851533740241635,0.754345835420069,0.8575320739162856,0.7961663859340319,0.7333530608660755,0.5676646683925561,0.6384364768856965,0.830956416843566,0.22222219478738336,0.2775510185200611,0.8374388634669419,0.7247606552824811,0.9177689970458199,0.4480874255725762,0.7518768043786087,0.8216605841557264,0.8596630928884147,0.8490749747386401,0.7673027620171815,0.7372484126351022,0.8391621821299364,0.8022324659009161,0.724960248609219,0.8319070250059092,0.19277106111192033,0.42925659215073986,0.0,0.003986710936965376,0.0,0.34348355245452433,0.0,0.0,0.0,0.0,0.0,0.013772147042410714
p_6,0.9728415495305286,0.8278723603993718,0.6799864230491001,0.9127970613916476,0.5009242097881311,0.7231786877665869,0.8059408388448575,0.8146429779254029,0.770401795894183,0.5426205546241835,0.5923442285768532,0.8275862047826661,0.7984790860724523,0.8292293853701649,0.8347227248688631,0.7557508380569893,0.6629098326695193,0.574971808624895,0.8297027949292682,0.3298968732065079,0.3258928547180591,0.8160295789939186,0.6645361340546654,0.9037781837587512,0.3563096462745531,0.7456481323195518,0.8237653306488335,0.8516446351972674,0.7881850844696934,0.596218285547848,0.6610169475964761,0.8373799119324193,0.7890385051050355,0.6503906186485291,0.8267379671775954,0.15189871494952975,0.43536711253688154,0.0,0.0060496067389618465,0.0,0.12478336005574767,0.0,0.0,0.0,0.0,0.0,0.01642732166108631
p_7,0.9783558446384053,0.8430017577778818,0.7462631229091562,0.849882757883963,0.451727188204365,0.8067725934842933,0.8444241278834325,0.889723637837551,0.8257351986313919,0.6961347103940541,0.640563819784485,0.7970037423333193,0.8234872881785047,0.8711576191864047,0.8179580576765206,0.8021201389808005,0.7065404444641116,0.5434262904906272,0.8420446908583057,0.07142855867347166,0.3944223081379661,0.8336610209899763,0.7349652623690324,0.8896121094079046,0.3774038416177423,0.7958486107775002,0.8519510645348133,0.8820611112402407,0.8407643302184898,0.7133770232137847,0.6832904866753458,0.8313639086407332,0.83249999791875,0.6671543477165007,0.8558081585634713,0.20512817882972065,0.4562737613670864,0.0,0.004127966933663912,0.0,0.49098473660215347,0.0,0.0,0.0,0.0,0.0,0.010715157645089285
p_8,0.9767037946643697,0.8458483639870622,0.7357054510198685,0.8469186843635959,0.5547703131204036,0.7958341100083013,0.8466333589495163,0.8521092078283585,0.8422843246144783,0.6950309226967041,0.675075402590964,0.7992831512570496,0.7883211663280308,0.8800392954300612,0.8366231729267055,0.7875113646938121,0.7168432564236636,0.6687847444893984,0.8521879765907198,0.4225351517556124,0.37522768328572237,0.8342936849133311,0.7337784900934466,0.798672951982999,0.5921787662236332,0.8212279461337394,0.8651089403015112,0.8838011092583089,0.8458781350778201,0.6591371124247378,0.6631158437733267,0.8362573090983492,0.8352408814606311,0.7374631214051393,0.8580293335294948,0.09523807256236366,0.28445229430695856,0.0,0.0,0.0,0.3224530136255884,0.0,0.0,0.0,0.0,0.0,0.01326017833891369
p_9,0.9743702324426474,0.8511389831106588,0.710290728202412,0.9082898169853432,0.3339130376710776,0.8168394404481558,0.8486791323893358,0.8738794050878795,0.8497203221258914,0.6940557698778845,0.6569795124893294,0.7135900809491363,0.8188235276602706,0.8968360602792446,0.8073937143470195,0.800542738125703,0.5728395033440025,0.6503551645591542,0.8342857134911564,0.4957264533567134,0.35982008725772047,0.8478297708500644,0.7076707612303027,0.901767417744055,0.5062656578162198,0.7926595773682111,0.8251527979868838,0.8702356520112942,0.8187257998137677,0.6883568644481718,0.7146541601063209,0.8232703664117854,0.8322851131229425,0.6437699629091856,0.8339446804461736,0.04761903628118183,0.32953864392127835,0.0,0.0047543581239749754,0.0,0.31076581231114525,0.0,0.0,0.0,0.0,0.0,0.015807960146949403
